Haul,Station,,,N,N  ,W  ,W  ,N,N  ,W  ,W  ,heading,Trawl  ,Trawl  ,Total,towed,min.,avg.,max.,,,,Scope  ,Gear  ,temp
18,161,Homer,7/30/2006,64,1010,166,2961,64,910,166,2946,176,13:55,14:21,26,1,14,14,14,8,1,2,75,20,13.9
19,134,Homer,7/30/2006,64,44,166,2945,63,5945,166,2868,161,15:43,16:10,28,1.1,15,15,15,8,2,2,75,20,18.3
20,135,Homer,7/30/2006,64,4,166,5170,63,5919,166,5049,148,18:10,18:35,25,1,17,17,17,9,2,2,100,20,17.4
21,107,Homer,7/30/2006,63,5043,166,2984,63,4976,166,2811,131,20:21,20:49,27,1,16,16,17,,2,2,100,20,16.1
22,82,Homer,7/30/2006,63,4023,166,2819,63,3928,166,2735,158,22:16,22:43,27,1,14,14,15,8,2,2,85,20,14.4
23,160,Homer,7/30/2006,64,1082,166,790,64,997,166,672,0:00,9:35,10:01,26,1,11,12,12,8,1,2,75,20,11.6
24,160,Homer,7/31/2006,64,997,166,686,64,1083,166,884,328,10:29,10:56,27,1,11,11,12,8,1,2,75,20,11.4
25,133,Homer,7/31/2006,64,74,166,785,63,5999,166,637,139,12:24,12:51,27,1,12,12,12,8,1,2,75,20,12.1
26,106,Homer,7/31/2006,63,5061,166,788,63,5005,166,603,124,14:13,14:40,27,1,14,14,14,7,1,2,85,20,14
27,81,Homer,7/31/2006,63,4078,166,538,63,3976,166,566,187,16:16,16:42,27,1,13,14,14,5,1,2,85,20,13.7
28,80,Homer,7/31/2006,63,3997,165,4338,63,4075,165,4199,38,18:34,19:01,27,1,12,12,12,6,2,2,75,20,11.7
29,105,Homer,7/31/2006,63,4950,165,4416,63,5024,165,4266,42,20:57,21:23,27,1,11,,11,7,2,2,75,20,11
30,105,Homer,7/31/2006,63,5016,165,4268,63,4941,165,4418,222,21:53,22:19,26,1,11,11,11,8,2,2,70,20,10.9
31,158,Homer,7/31/2006,64,1004,165,2112,64,912,165,2029,158,9:09,9:35,26,1,9,9,9,8,1,2,58,20,9.2
32,159,Homer,8/1/2006,64,1017,165,4384,64,923,165,4455,198,11:37,12:03,26,1,10,10,10,8,1,2,,20,10
33,132,Homer,8/1/2006,64,59,165,4336,63,5964,165,4407,198,13:15,13:42,27,1,10,10,10,7,1,2,73,20,10
34,131,Homer,8/1/2006,63,5968,165,2259,64,7,165,2051,67,15:11,15:37,26,1,9,9,9,6,1,2,60,20,8.7
35,104,Homer,8/1/2006,63,5071,165,2012,63,4979,165,2093,201,17:04,17:31,27,1,9,9,9,5,1,2,60,20,8.9
36,79,Homer,8/1/2006,63,4094,165,2025,63,3997,165,2079,194,18:54,19:21,27,1,9,9,9,4,1,2,60,20,8.9
37,78,Homer,8/1/2006,63,4008,164,5841,63,4107,164,5848,358,21:01,21:29,27,1,8,8,8,8,2,2,50,20,8.1
38,103,Homer,8/1/2006,63,4989,164,5864,63,5060,165,23,315,22:47,23:14,27,1,8,8,8,7,1,2,55,20,8.1
39,130,Homer,8/2/2006,63,5998,164,5908,64,63,164,5734,50,10:02,10:28,27,1,9,9,9,8,1,2,60,20,8.9
40,129,Homer,8/2/2006,64,3,164,3534,64,60,164,3349,55,11:54,12:20,26,1,9,9,10,7,1,2,56,20,9.4
41,128,Homer,8/2/2006,64,3,164,1307,63,5973,164,1092,107,13:33,14:00,27,1,8,8,8,6,1,1,50,20,8.3
42,127,Homer,8/2/2006,64,8,163,5075,63,5971,163,4865,112,15:12,15:38,27,1,9,9,9,7,1,1,51,20,9
43,126,Homer,8/2/2006,63,5997,163,2802,64,8,163,2577,84,16:56,17:23,27,1,10,10,10,5,1,1,60,20,9.9
44,125,Homer,8/2/2006,63,5997,163,519,64,11,163,295,81,18:41,19:07,27,1,9,9,9,4,1,1,55,20,9.1
45,152,Homer,8/2/2006,64,982,163,451,64,1041,163,266,54,20:33,21:00,27,1,13,13,13,6,1,2,75,,12.7
46,177,Nome1,8/3/2006,64,1931,162,4167,64,1974,162,4035,53,13:21,13:43,21,0.7,11,11,11,3,1,1,60,22,11.3
47,151,Homer,8/3/2006,64,997,162,4151,64,1078,162,4271,327,16:10,16:38,29,1.1,10,11,11,3,1,1,60,,10.5
48,150,Homer,8/3/2006,64,995,162,1959,64,1004,162,1731,85,18:10,18:36,26,1,8,8,8,2,1,1,50,20,8.1
49,176,Homer,8/3/2006,64,1932,162,1818,64,2012,162,1684,36,19:53,20:18,26,1,9,9,9,2,1,1,50,20,8.6
50,175,Homer,8/3/2006,64,1997,161,5476,64,2018,161,5251,78,21:46,22:13,27,1,8,8,8,2,1,1,50,20,7.8
51,174,Homer,8/4/2006,64,2006,161,3134,64,1948,161,3324,235,9:17,9:44,27,1,6,6,7,8,1,1,46,20,6.2
52,147,Homer,8/4/2006,64,915,161,939,64,1013,161,980,350,11:57,12:24,27,1,5,5,5,8,1,1,35,20,5.2
53,148,Homer,8/4/2006,64,1018,161,3120,64,994,161,3341,255,13:51,14:19,28,1,8,8,8,9,1,1,50,20,8.2
54,149,Homer,8/4/2006,64,962,161,5363,64,1002,161,5575,294,15:33,16:00,27,1,9,9,9,8,1,1,50,,8.7
55,122,Homer,8/4/2006,64,96,161,5716,64,2,161,5637,159,17:22,17:50,27,1,9,9,9,7,1,1,50,20,8.5
56,121,Homer,8/4/2006,64,34,161,3583,63,5991,161,3958,114,19:01,19:30,29,1.1,9,9,9,8,1,1,50,20,8.5
57,120,Homer,8/4/2006,63,5991,161,1118,64,83,161,1032,22,20:50,21:17,27,1,5,5,5,9,1,1,35,20,5
58,94,Homer,8/5/2006,63,5028,161,3527,63,5112,161,3649,327,9:47,10:14,27,1,8,8,8,9,1,2,50,20,8.1
59,95,Homer,8/5/2006,63,5003,161,5763,63,5075,161,5922,316,11:38,12:06,27,1,8,8,8,9,1,2,50,20,8.2
60,95,Homer,8/5/2006,63,5078,161,5913,63,5005,161,5759,137,12:27,12:54,27,1,8,8,8,8,1,2,50,20,8.1
61,123,Homer,8/5/2006,64,28,162,1994,63,5958,162,1834,135,15:35,16:03,27,1,8,8,8,6,1,1,50,20,8.3
62,124,Homer,8/5/2006,63,5986,162,4188,63,5887,162,4185,179,17:40,18:07,27,1,9,9,9,3,2,2,50,,8.9
63,97,Homer,8/5/2006,63,4997,162,4290,63,4955,162,4086,115,19:24,19:51,27,1,8,,8,3,2,2,50,20,8.3
64,96,Homer,8/5/2006,63,4981,162,2032,63,4931,162,1838,121,21:05,21:32,27,1,8,8,8,2,2,2,50,20,7.5
65,70,Homer,8/5/2006,63,3992,161,5838,63,3952,161,5634,114,23:08,23:35,27,1,6,6,6,3,1,2,35,20,6.2
66,69,Homer,8/6/2006,63,4030,161,3593,63,3941,161,3692,206,7:53,8:19,27,1,7,7,7,2,1,1,35,20,7
67,68,Homer,8/6/2006,63,4001,161,1382,63,3972,161,1597,254,9:57,10:23,26,1,6,6,6,2,1,1,35,20,6
68,93,Homer,8/6/2006,63,4985,161,1263,63,4928,161,1353,215,21:03,21:22,19,0.7,5,5,5,9,1,1,35,20,5.3
69,98,Nome2,8/7/2006,63,5034,163,524,63,5133,163,504,5,11:22,11:49,27,1,9,9,9,9,2,2,50,20,8.9
70,99,Nome2,8/7/2006,63,5006,163,2791,63,1922,163,2910,212,13:39,14:05,26,1,8,8,8,9,2,2,60,20,7.9
71,100,Nome2,8/7/2006,63,4989,163,4980,63,4961,163,4765,107,15:41,16:07,27,1,8,8,8,9,2,2,55,,8
72,101,Nome2,8/7/2006,63,5108,164,1441,63,5054,164,1249,123,17:57,18:25,27,1,8,8,8,9,1,2,50,20,8.1
73,102,Nome2,8/7/2006,63,5014,164,3551,63,5111,164,3488,16,20:10,20:38,27,1,8,8,8,9,1,2,50,20,7.9
74,202,Nome2,8/8/2006,64,3000,163,4891,64,2968,163,5109,251,7:18,7:45,27,1,8,8,8,6,1,1,50,20,7.8
75,203,Nome2,8/8/2006,64,2997,164,1194,64,3018,164,1422,282,9:12,9:39,27,1,10,10,10,5,1,2,50,20,10
76,185,Nome2,8/9/2006,64,2012,165,4518,64,2041,165,4738,287,9:20,9:47,27,1,11,11,11,9,1,2,70,20,11.1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,skipper left blanks,,,
