Haul,Station,Date,N degrees,N minutes,W degrees,W minutes,Compass heading,Trawl start time,Trawl end time,Trawl total time,Distance towed,Depth min,Depth avg,Depth max,Clouds,Sea,Swell,Scope,Gear perf,Bottom temp
22,159,8/1/1999,64,1000,165,4373,170,0,0,30,1.1,0,9,0,9,1,3,50,20,0
23,185,8/1/1999,64,2028,165,4494,170,0,0,30,1,0,10,0,8,1,3,50,20,0
24,184,8/2/1999,64,2033,465,2107,160,0,0,30,1.2,0,11,0,9,1,3,50,20,0
25,184,8/2/1999,64,2028,165,1937,160,0,0,30,1.2,,12,0,9,1,2,50,20,0
26,158,8/2/1999,64,1006,165,2062,160,0,0,30,1,0,0,0,9,1,2,50,20,0
27,157,8/2/1999,64,1985,164,5796,160,0,0,30,1.2,0,7,0,9,1,2,50,20,0
28,183,8/2/1999,64,2008,164,5832,90,0,0,30,0.9,0,16,0,8,1,2,60,20,0
29,183,8/2/1999,64,2047,164,5851,90,0,0,30,0.7,0,17,0,9,1,2,60,20,0
30,183,8/2/1999,64,1979,164,5855,90,0,0,30,0.8,0,15,0,9,1,2,60,20,0
31,182,8/2/1999,64,2023,164,3488,45,0,0,30,1,0,7,0,8,1,2,50,20,0
32,182,8/2/1999,64,2048,164,3609,45,0,0,30,1.2,0,8,0,8,1,2,50,20,0
33,156,8/3/1999,64,1066,164,3405,90,0,0,30,1,0,7,0,8,1,2,50,20,0
34,155,8/3/1999,64,1044,164,1142,70,,0,30,1.2,0,8,0,8,1,2,50,20,0
35,181,8/3/1999,64,2008,164,1181,90,0,0,30,1,0,6,0,8,1,2,45,20,0
36,203,8/3/1999,64,3012,164,1199,90,0,0,30,1.2,0,8,0,7,1,2,45,20,0
37,202,8/3/1999,64,3010,163,4848,90,0,0,30,1.1,0,7,0,7,10,2,45,20,0
38,180,8/3/1999,64,2018,163,4933,90,0,0,30,1.1,0,8,0,6,1,2,50,20,0
39,154,8/3/1999,64,1020,163,4957,90,0,0,30,1,0,8,0,8,1,2,50,20,0
40,179,8/4/1999,64,2002,163,2658,140,0,0,30,0.9,0,9,0,9,1,3,50,20,0
41,153,8/4/1999,64,1006,163,2581,90,0,0,30,1.1,0,10,0,9,1,3,50,20,0
42,153,8/4/1999,64,1073,163,2535,90,0,0,30,1,0,9,0,9,1,3,50,20,0
43,153,8/4/1999,64,968,163,2525,90,0,0,30,1.1,0,10,0,9,1,3,50,20,0
44,152,8/4/1999,64,1040,163,458,110,0,0,30,0.9,0,12,0,9,2,5,50,20,0
45,152,8/4/1999,64,989,163,1494,110,0,0,30,1,0,12,0,8,1,5,50,20,0
46,151,8/4/1999,64,1029,162,4228,110,0,0,30,0.8,0,10,0,8,2,4,50,20,0
47,151,8/4/1999,64,984,162,4182,120,0,0,30,0.9,0,10,0,7,1,4,50,20,0
48,98,8/5/1999,63,5004,163,465,140,0,0,30,1.2,0,8,0,8,1,3,50,20,0
49,98,8/5/1999,63,4956,163,552,140,0,0,30,1.2,0,8,0,7,1,3,50,20,0
50,97,8/5/1999,63,4987,162,4248,120,0,0,30,1.1,0,8,0,3,1,2,50,22,0
51,99,8/5/1999,63,5023,163,2730,90,0,0,30,1.3,0,8,0,5,1,3,50,20,0
52,100,8/5/1999,63,5018,163,5023,270,0,0,30,1.1,0,8,0,5,1,2,50,20,0
53,101,8/5/1999,63,4989,164,1244,285,0,0,30,1.3,0,8,0,6,1,2,50,20,0
54,102,8/5/1999,63,5037,164,3264,285,0,0,30,1.2,0,8,0,6,1,2,50,20,0
55,103,8/6/1999,63,5016,164,5859,275,0,0,30,1.3,0,8,0,8,1,2,50,20,0
56,104,8/6/1999,63,5038,165,2083,90,0,0,30,1,0,8,0,8,1,2,50,20,0
57,105,8/6/1999,63,5014,165,4346,120,0,0,30,0.9,0,10,0,8,1,2,50,20,0
58,106,8/6/1999,63,5016,166,638,140,0,0,30,0.8,0,13,0,9,1,2,50,20,0
59,107,8/6/1999,63,5075,166,2778,160,0,0,30,0.8,0,15,0,9,1,2,50,20,0
60,135,8/6/1999,64,24,166,5212,160,0,0,30,0.9,0,16,0,9,1,2,60,20,0
61,162,8/7/1999,64,1023,166,5193,160,0,0,30,0.9,0,15,0,9,1,2,60,22,0
62,78,8/7/1999,63,4039,164,5757,60,0,0,14,0.5,0,7,0,8,1,2,50,26,0
63,78,8/7/1999,63,4137,164,5741,90,0,0,18,0.6,0,7,0,8,1,1,50,26,0
64,77,8/7/1999,63,4034,164,3584,270,0,0,30,1.2,0,4,0,8,1,1,40,20,0
