Haul,Station,,,N,N  ,W  ,W  ,N,N  ,W  ,W  ,heading,Trawl  ,Trawl  ,Total,towed,min.,max.,average,,,,Scope  ,Gear  ,temp,temp,temp,
16,105,4,7/30,,,,,63,49.62,165,41.88,112,1629,1649,30,1.0,10.4,10.5,10.5,9,1,1,50,20,11.3,7.6,7.0,
17,106,4,7/30,63,50.20,166,06.53,63,49.62,166,04.72,124,1835,1904,29,1.0,13.5,13.6,13.6,9,1,1,75,20,10.9,7.5,7.4,
18,133,4,7/30,64,00.11,166,06.51,63,59.31,166,05.16,147,2045,2115,30,1.0,11.8,11.9,11.9,9,1,1,75,20,11.0,6.8,6.5,
19,160,4,7/31,64,10.27,166,06.11,64,09.76,166,08.06,229,0610,0640,30,1.0,11.4,11.5,11.5,9,1,2,55,20,9.8,7.3,7.8,
20,159,4,8/2,64,10.25,165,43.85,64,09.26,165,43.85,186,0609,0639,30,1.0,10.0,10.1,10.1,9,1,1,50,20,10.6,9.7,10.3,
21,132,4,8/2,,,,,63,59.21,165,43.60,176,0758,0828,30,1.0,10.0,10.1,10.1,9,1,1,50,20,10.2,9.8,9.7,
22,131,4,8/2,64,00.09,165,20.48,63,59.89,165,22.71,249,1003,1033,30,1.0,8.9,9.1,9.0,9,1,1,45,20,10.9,10.2,10.3,
23,130,4,8/2,64,00.03,164,58.87,64,00.03,164,56.59,94,1208,1238,30,1.0,9.0,9.1,9.1,9,1,1,25,20,12.9,11.7,11.5,going to try going 3-1 line out
24,129,4,8/2,64,00.13,164,36.01,63,59.58,164,34.11,117,1357,1427,30,1.0,9.3,9.6,9.5,9,1,1,29,20,13.6,11.5,11.3,still 3-1 and doors seem to be sitting right
25,128,4,8/2,64,00.02,164,12.05,64,00.02,164,14.33,262,1548,1618,30,1.0,8.3,8.4,8.4,9,1,1,25,20,13.3,11.9,12.0,
26,127,4,8/2,64,00.17,163,49.59,63,59.54,163,51.35,225,1749,1819,30,1.0,8.9,9.1,9.0,9,1,1,27,20,13.3,11.9,11.3,
27,126,4,8/2,64,00.13,163,26.91,63,59.65,163,28.89,236,1951,2021,30,1.0,9.7,9.8,9.8,9,1,1,30,20,14.3,8.1,7.2,
28,125,4,8/3,64,00.01,163,04.13,64,00.00,163,06.41,261,0604,0634,30,1.0,9.4,9.6,9.5,9,1,1,27,20,14.1,7.4,7.2,with 3-1 line out doors are acting a lot better
29,153,4,8/3,64,09.99,163,26.29,64,10.06,163,28.56,278,0819,0849,30,1.0,9.9,10.2,10.1,9,1,1,30,20,15.6,6.7,6.3,
30,154,4,8/3,64,10.01,163,50.23,64,09.99,163,47.94,89,1004,1034,30,1.0,10.0,10.0,10.0,9,1,1,30,20,15.6,8.2,8.4,
31,155,4,8/3,64,10.02,164,13.27,64,09.99,164,10.99,89,1202,1232,30,1.0,9.6,9.8,9.7,9,1,1,29,20,14.5,10.2,9.9,
32,156,4,8/3,64,10.01,164,36.11,64,09.99,164,33.83,90,1357,1427,30,1.0,7.7,7.7,7.7,9,1,1,25,,14.2,11.2,11.1,
33,157,4,8/3,64,10.02,164,58.95,64,10.01,164,56.66,93,1553,1623,30,1.0,7.9,8.0,8.0,8,1,1,25,20,14.7,12.1,11.4,
34,158,4,8/3,64,10.07,165,21.84,64,09.95,165,19.58,102,1749,1819,30,1.0,8.9,9.0,9.0,8,1,1,27,20,14.6,10.2,10.0,
35,183,4,8/5,64,19.56,164,55.07,64,19.93,164,57.22,280,0624,0654,30,1.0,14.3,16.3,15.3,3,1,1,45,20,13.9,12.4,12.2,
36,182,4,8/5,64,19.98,164,36.01,64,20.17,164,33.76,73,0824,0847,22,1.0,7.5,7.7,7.6,2,1,1,25,20,14.5,12.4,,increase speed to 2.5-2.6
37,181,4,8/5,64,20.01,164,12.85,64,20.00,164,10.54,95,1010,1035,25,1.0,7.0,7.1,7.1,2,1,1,25,20,16.2,12.5,,"speed 2.5-2.6, stbd wire came back twisted, small hole in net (not related)"
38,203,4,8/5,64,30.18,164,12.17,64,29.22,164,11.57,155,1159,1223,24,1.0,9.3,9.8,9.6,4,1,1,30,20,16.2,11.6,11.1,speed 2.5-2.6
39,202,4,8/5,64,30.18,163,49.26,64,29.43,163,47.75,131,1347,1411,24,1.0,7.7,7.9,7.8,2,1,1,25,,17.6,14.6,14.5,speed 2.5
40,180,4,8/5,64,20.21,163,49.59,64,19.31,163,48.58,137,1533,1558,25,1.0,8.6,8.7,8.7,2,1,1,25,,17.2,14.3,14.9,speed 2.5
41,179,4,8/5,64,20.10,163,26.06,64,19.41,163,27.74,224,1727,1751,24,1.0,9.3,9.9,9.6,1,1,1,27,20,17.3,10.5,10.5,speed 2.5
42,152,4,8/5,64,09.88,163,04.49,64,10.34,163,02.44,67,1947,2012,25,1.0,12.6,12.6,12.6,1,1,1,45,20,16.6,5.5,5.4,speed 2.4-2.5
43,151,4,8/6,64,09.85,162,41.00,64,10.78,162,41.86,335,0610,0633,23,1.0,10.7,10.8,10.8,1,1,1,31,20,16.3,5.4,5.5,speed 2.5-2.6
44,150,4,8/6,64,09.86,162,18.56,64,10.58,162,16.97,41,0811,0835,24,1.0,8.7,8.7,8.7,1,1,1,25,20,16.2,6.2,6.0,speed 2.5
45,176,4,8/6,64,20.09,162,17.32,64,19.11,162,17.08,173,0953,1016,23,1.0,9.2,9.3,9.3,1,1,1,27,20,16.6,7.0,6.8,speed 2.5-2.6
46,175,4,8/6,64,19.99,161,54.03,64,20.12,161,56.32,271,1139,1202,23,1.0,8.4,8.5,8.5,1,1,1,25,20,17.3,8.0,7.8,speed 2.5-2.6
47,149,4,8/6,64,10.10,161,55.52,64,09.11,161,55.49,162,1325,1349,24,1.0,9.1,9.2,9.2,1,1,1,27,20,17.4,4.5,4.1,speed 2.5
48,148,4,8/6,64,09.89,161,32.50,64,10.78,161,33.55,340,1516,1540,24,1.0,8.1,8.3,8.2,1,1,1,25,20,17.9,6.2,6.4,spped 2.5
49,121,4,8/6,63,59.78,161,33.91,64,00.76,161,33.44,9,1839,1903,24,1.0,8.4,8.5,8.5,1,1,1,25,,17.7,6.8,5.8,"speed 2.5, came up clean"
50,94,4,8/7,63,50.01,161,34.39,63,50.05,161,36.66,265,0606,0631,25,1.0,7.5,8.0,7.8,2,1,1,25,20,18.0,,8.5,"speed 2.4-2.5, tow came up clean"
51,95,4,8/7,63,50.00,161,57.10,63,50.00,161,59.36,269,0756,0820,24,1.0,8.4,8.5,8.5,2,1,1,26,20,17.1,,7.3,"speed 2.5, tow came up clean"
52,122,4,8/7,64,00.00,161,56.20,64,00.01,161,58.47,273,0949,1013,24,1.0,9.1,9.2,9.2,2,1,1,27,20,16.3,,4.3,"speed 2.5, tow came up clean"
53,123,4,8/7,64,00.11,162,19.03,63,59.41,162,20.66,217,1130,1144,24,1.0,8.5,8.7,8.6,1,1,1,26,20,16.3,,7.8,
54,96,4,8/7,63,49.82,162,20.43,63,50.67,162,19.22,32,1314,1338,24,1.0,8.0,8.0,8.0,3,1,1,25,20,17.8,,10.8,"speed 2.5, net came up clean"
55,124,4,8/7,64,00.12,162,42.34,63,59.53,162,40.51,110,1522,1546,24,1.0,9.1,9.1,9.1,1,1,1,27,,17.7,,8.3,"speed 2.5, net came up clean"
56,98,4,8/7,63,50.02,163,05.77,63,49.97,163,03.51,85,1734,1758,24,1.0,8.3,8.3,8.3,1,1,1,25,20,16.7,12.3,12.1,"speed 2.5, net came up clean"
57,99,4,8/7,63,49.99,163,28.26,63,50.01,163,26.00,82,1926,1950,24,1.0,7.8,7.8,7.8,2,1,1,25,20,17.4,11.8,12.1,"speed 2.5, net came up clean"
58,100,4,8/8,63,49.91,163,49.89,63,50.31,163,51.97,292,0614,0638,24,1.0,8.3,8.4,8.4,4,1,1,25,20,16.0,13.3,13.2,speed 2.5
59,101,4,8/8,63,49.95,164,13.57,63,49.95,164,15.82,272,0824,0848,24,1.0,8.5,8.6,8.6,5,1,1,26,20,16.7,12.8,12.8,"speed 2.5, had to rehang some corkline"
60,102,4,8/8,63,49.79,164,35.48,63,50.75,164,36.12,337,1006,1030,24,1.0,8.1,8.3,8.2,3,1,1,25,20,16.8,12.7,12.6,speed 2.5
