Haul ,Station ,Net,Vessel,Date,N degrees,N minutes,W degrees,W minutes,Compass heading ,Trawl Start,Trawl End,Trawl Total (min),Tow Distance (Km),Tow area (km2),Depth min (m),Depth avg (m),Depth max (m),Clouds,Sea,Swell,Scope (m),Gear perf,Bottom temp (oC)
48,105,1,Peggy Jo,8/2/2002,63,5002,165,4335,120,14:26,14:56,30,2.778,0.033853152,18.288,18.288,18.288,8,1,2,91.44,20,3.11
49,80,1,Peggy Jo,8/2/2002,63,4088,165,4250,180,15:56,16:28,30,2.778,0.033853152,18.288,18.288,18.288,7,1,1,91.44,20,2.13
50,79,1,Peggy Jo,8/2/2002,63,3931,165,2211,0,17:37,18:07,30,2.5928,0.031596276,14.6304,14.6304,14.6304,6,1,1,73.152,20,6.57
51,104,1,Peggy Jo,8/2/2002,63,4988,165,2018,0,19:15,19:45,30,2.5928,0.031596276,14.6304,14.6304,14.6304,5,1,2,73.152,20,7.75
52,78,1,Peggy Jo,8/3/2002,63,4064,164,5625,340,8:20,8:50,30,2.5928,0.031596276,12.8016,12.8016,12.8016,9,1,2,64.008,20,9.69
53,103,1,Peggy Jo,8/3/2002,63,4975,164,5926,330,9:50,10:20,30,2.5928,0.031596276,12.8016,12.8016,12.8016,6,1,2,64.008,20,10.74
54,156,1,Peggy Jo,8/3/2002,64,1035,164,3580,90,13:01,13:31,30,2.5928,0.031596276,12.8016,12.8016,12.8016,5,1,2,64.008,20,11.02
55,155,1,Peggy Jo,8/3/2002,64,1086,164,1208,85,14:32,15:02,30,2.5928,0.031596276,14.6304,14.6304,14.6304,5,1,1,73.152,20,10.34
56,128,1,Peggy Jo,8/3/2002,64,2,164,1434,90,16:25,16:55,30,2.5928,0.031596276,12.8016,12.8016,12.8016,4,1,1,64.008,20,10.82
57,127,1,Peggy Jo,8/3/2002,64,30,163,5188,85,17:55,18:25,30,2.5928,0.031596276,14.6304,14.6304,14.6304,3,1,1,73.152,20,9.04
58,154,1,Peggy Jo,8/3/2002,64,1014,163,5009,90,19:40,20:10,30,2.5928,0.031596276,16.4592,16.4592,16.4592,2,1,1,82.296,20,10.7
59,153,1,Peggy Jo,8/4/2002,64,1035,163,2513,90,8:10,8:50,30,2.5928,0.031596276,16.4592,16.4592,18.288,5,1,1,82.296,20,8.32
60,126,1,Peggy Jo,8/4/2002,64,41,163,2792,90,9:57,10:27,30,2.5928,0.031596276,16.4592,16.4592,16.4592,1,1,1,82.296,20,8.67
61,125,1,Peggy Jo,8/4/2002,63,5996,163,481,90,11:41,12:11,30,2.5928,0.031596276,14.6304,14.6304,16.4592,4,1,1,82.296,20,8.28
62,152,1,Peggy Jo,8/4/2002,64,986,163,523,90,13:21,13:51,30,2.5928,0.031596276,21.9456,21.9456,21.9456,3,1,1,109.728,20,7.41
63,151,1,Peggy Jo,8/4/2002,64,1008,162,4287,90,15:03,15:33,30,2.778,0.033853152,16.4592,18.288,18.288,5,1,1,91.44,20,8.21
64,124,1,Peggy Jo,8/4/2002,64,5,162,4420,90,16:49,17:19,30,2.5928,0.031596276,14.6304,14.6304,14.6304,3,1,1,73.152,20,7.5
65,123,1,Peggy Jo,8/4/2002,63,5997,162,2090,90,18:24,18:54,30,2.778,0.033853152,14.6304,14.6304,14.6304,5,1,1,73.152,20,6.78
66,150,1,Peggy Jo,8/4/2002,64,983,162,2012,90,20:11,20:41,30,2.5928,0.031596276,12.8016,12.8016,12.8016,3,1,1,64.008,20,8.68
67,149,1,Peggy Jo,8/5/2002,64,1028,161,5634,20,8:11,8:41,30,2.5928,0.031596276,14.6304,16.4592,16.4592,2,1,2,82.296,20,5.31
68,148,1,Peggy Jo,8/5/2002,64,986,161,3303,20,10:06,10:36,30,2.5928,0.031596276,14.6304,14.6304,14.6304,3,1,2,73.152,20,6.19
69,121,1,Peggy Jo,8/5/2002,63,5972,161,3422,20,12:00,12:30,30,2.5928,0.031596276,14.6304,14.6304,14.6304,3,1,2,73.152,26,5.07
70,94,1,Peggy Jo,8/5/2002,63,4975,161,3527,10,14:00,14:30,30,2.4076,0.029339399,12.8016,12.8016,12.8016,3,2,3,64.008,20,7.34
71,95,1,Peggy Jo,8/5/2002,63,4970,161,5810,10,16:27,16:57,30,2.5928,0.031596276,12.8016,12.8016,12.8016,4,2,3,64.008,20,9.08
72,122,1,Peggy Jo,8/5/2002,63,5972,161,5692,10,18:20,18:50,30,2.5928,0.031596276,12.8016,14.6304,14.6304,4,2,4,73.152,20,6.08
73,126,1,Peggy Jo,8/6/2002,64,55,163,2439,270,8:18,8:48,30,2.5928,0.031596276,16.4592,16.4592,16.4592,4,2,3,82.296,20,10.05
74,101,1,Peggy Jo,8/6/2002,63,5039,164,1258,270,11:12,11:42,30,2.5928,0.031596276,12.8016,14.6304,14.6304,3,1,3,73.152,1,11.3
75,101,1,Peggy Jo,8/6/2002,63,5007,164,1490,0,12:16,12:46,30,2.5928,0.031596276,12.8016,14.6304,14.6304,3,1,3,73.152,20,12.17
76,102,1,Peggy Jo,8/6/2002,63,5014,164,3491,0,13:45,14:15,30,2.5928,0.031596276,12.8016,12.8016,12.8016,1,1,3,64.008,20,12.02
,,,,,,0.839833333,,0.209666667,,,,,,,,,,,,,,,
