Haul,Station,,,N,N  ,W  ,W  ,,N,N  ,W  ,W  ,heading,Trawl  ,Trawl  ,Total,towed,min.,avg.,max.,,,,Scope  ,Gear  ,temp
23,154,new#1,7/30/08,64,10.07,163,49.92,,64,10.19,163,47.73,83,17:47,18:14,26.9,1.0,9.7,9.7,9.8,9,1,2,75,20,4.6
24,180,new#1,7/30/08,64,20.00,163,49.11,,64,20.49,163,47.11,60,19:38,20:05,26.7,1.0,8.7,8.7,8.7,9,1,2,75,20,6.1
25,202,new#1,7/31/08,64,29.99,163,49.01,,64,29.65,163,51.19,250,9:55,10:21,26.3,1.0,8.1,8.2,8.4,9,1,2,75,20,6.8
26,203,new#1,7/31/08,64,29.91,164,12.29,,64,30.05,164,14.60,278,11:50,12:16,25.9,1.0,10.1,10.4,10.7,9,2,2,75,20,7.9
27,181,new#1,7/31/08,64,20.03,164,12.33,,64,19.80,164,10.10,103,14:09,14:36,27.3,1.0,7.3,7.3,7.3,9,2,2,75,20,8.2
28,128,new#1,7/31/08,63,59.89,164,13.06,,64,0.12,164,14.85,286,17:32,17:59,27.2,1.0,8.4,8.5,8.6,9,2,2,75,20,8.8
29,129,new#1,7/31/08,64,0.17,164,35.21,,64,0.84,164,33.55,47,19:39,20:06,26.7,1.0,9.6,9.8,10.0,9,2,2,75,20,7.3
30,156,new#1,7/31/08,64,9.85,164,34.72,,64,9.95,164,32.46,84,21:34,22:01,26.5,1.0,7.5,7.6,7.8,9,2,2,75,20,6.0
31,186,new#1,8/2/08,64,20.84,166,6.29,,64,19.95,166,7.43,209,9:08,9:34,25.4,1.0,11.9,12.7,13.6,7,2,2,75,20,
32,187,new#1,8/2/08,64,19.96,166,30.02,,64,19.24,166,28.42,136,21:31,21:58,27.6,1.0,13.2,13.4,13.7,2,1,2,75,20,5.1
33,161,new#1,8/2/08,64,9.87,166,30.06,,64,8.93,166,30.81,199,23:31,23:58,26.8,1.0,13.5,13.7,13.9,3,1,2,75,20,4.6
34,135,new#1,8/3/08,63,59.98,166,51.67,,63,59.55,166,53.73,245,2:12,2:39,26.8,1.0,17.0,17.1,17.3,6,1,2,75,20,4.0
35,134,new#1,8/3/08,64,0.08,166,29.06,,64,0.23,166,31.31,278,4:34,5:01,27.4,1.0,15.4,15.5,15.7,7,2,2,75,20,5.4
36,133,new#1,8/3/08,63,59.99,166,6.18,,64,0.23,166,8.39,284,6:47,7:14,27.2,1.0,12.1,12.2,12.4,8,2,2,75,20,6.0
37,160,new#1,8/3/08,64,10.10,166,7.59,,64,10.14,166,9.87,272,8:57,9:24,27.6,1.0,11.6,11.7,11.8,9,2,2,75,20,5.4
38,159,new#1,8/4/08,64,9.80,165,42.86,,64,9.11,165,41.19,133,8:17,8:45,27.7,1.0,9.9,10.0,10.1,2,2,4,75,20,7.6
39,158,new#1,8/4/08,64,10.22,165,20.89,,64,9.15,165,19.82,151,10:44,11:11,27.5,1.0,8.9,9.0,9.1,4,2,3,75,20,8.7
40,131,new#1,8/4/08,63,59.98,165,20.91,,63,59.00,165,20.59,172,12:41,13:07,26.4,1.0,8.6,8.7,8.9,6,2,3,75,20,8.5
41,130,new#1,8/4/08,63,59.95,164,58.26,,63,59.35,164,56.45,127,15:05,15:32,27.7,1.0,8.7,8.8,8.9,7,1,3,75,20,9.4
42,157,new#1,8/4/08,64,9.99,164,58.23,,64,9.39,164,56.43,127,17:25,17:51,26.0,1.0,7.8,7.9,8.0,3,1,2,75,20,7.0
43,182,new#1,8/4/08,64,19.95,164,35.15,,64,19.07,164,33.92,149,19:59,20:28,28.8,1.0,7.0,7.2,7.4,8,1,2,75,20,9.3
44,132,new#1,8/5/08,63,59.97,165,43.69,,63,59.18,165,45.06,217,11:31,11:58,26.9,1.0,10.1,10.1,10.1,5,1,1,75,20,
45,106,new#1,8/5/08,63,50.21,166,5.69,,63,51.13,166,4.81,23,13:50,14:17,27.0,1.0,13.2,13.3,13.5,4,1,1,75,20,
46,107,new#1,8/5/08,63,49.95,166,28.52,,63,19.06,166,29.51,206,16:02,16:29,27.0,1.0,15.7,15.9,16.1,7,1,1,75,20,4.7
47,82,new#1,8/5/08,63,40.01,166,27.92,,63,40.85,166,30.18,275,18:03,18:30,27.3,1.0,14.3,14.3,14.4,7,1,1,75,20,5.3
48,81,new#1,8/5/08,63,39.91,166,5.53,,63,38.97,166,6.26,199,20:03,20:30,27.0,1.0,13.4,13.5,13.6,8,1,1,75,20,5.8
49,80,new#1,8/5/08,63,40.06,165,42.98,,63,39.30,165,44.38,219,21:59,22:25,26.7,1.0,11.4,11.5,11.6,9,1,1,75,20,6.9
50,79,new#1,8/5/08,63,40.05,165,20.70,,63,39.37,165,22.38,227,23:59,0:27,28.3,1.0,9.0,9.1,9.2,9,1,1,75,20,7.6
51,78,new#1,8/6/08,63,40.09,164,58.11,,63,39.19,164,59.09,206,10:05,10:31,26.3,1.0,7.5,7.7,8.0,9,1,2,75,20,
52,103,new#1,8/6/08,63,50.01,164,58.22,,63,50.83,164,56.92,35,12:08,12:34,26.5,1.0,8.0,8.1,8.1,9,1,2,75,20,8.2
53,204,new#1,8/8/08,64,30.03,165,44.77,,64,29.84,165,42.49,101,9:42,10:09,27.1,1.0,8.4,8.6,8.9,1,1,1,75,20,
54,185,Homer,8/8/08,64,19.94,165,44.57,,64,19.47,165,42.56,119,13:13,13:39,26.6,1.0,10.3,10.4,10.7,3,1,1,75,1,7.2
55,184,Homer,8/8/08,64,19.82,165,20.84,,64,19.25,165,18.96,125,15:15,15:40,25.7,1.0,11.6,11.8,12.1,2,1,1,75,20,7.7
56,184,Homer,8/8/08,64,19.98,165,21.14,,64,19.14,165,19.93,148,16:29,16:55,26.0,1.0,11.3,11.7,12.2,3,1,1,75,20,7.6
57,183,Homer,8/8/08,64,19.93,164,57.82,,64,19.53,164,55.73,114,18:38,19:04,26.6,1.0,14.0,14.8,15.7,3,1,1,75,20,7.6
58,105,Homer,8/9/08,63,49.99,165,43.39,,63,50.66,165,41.63,49,12:19,12:47,27.9,1.0,10.3,10.4,10.7,9,1,2,75,20,7.2
59,104,Homer,8/9/08,63,49.99,165,20.83,,63,50.45,165,18.83,63,14:15,14:42,26.6,1.0,8.7,8.8,9.0,7,1,2,75,20,7.5
60,102,Homer,8/9/08,63,50.01,164,35.62,,63,50.90,164,34.61,27,17:22,17:50,27.1,1.0,7.9,8.0,8.1,7,1,2,75,20,8.5
61,101,Homer,8/9/08,63,50.03,164,13.05,,63,49.04,164,13.29,186,19:19,19:47,27.3,1.0,8.1,8.1,8.1,7,1,1,75,20,9.1
62,100,Homer,8/9/08,63,49.90,163,49.58,,63,49.38,163,47.67,122,21:24,21:50,26.0,1.0,8.1,8.1,8.1,8,1,1,75,20,7.9
63,99,Homer,8/9/08,63,50.25,163,28.44,,63,50.90,163,30.14,311,23:17,23:44,26.9,1.0,8.1,8.1,8.1,9,1,1,75,20,6.9
64,98,Homer,8/10/08,63,49.98,163,5.26,,63,50.74,163,6.74,319,1:23,1:50,27.2,1.0,8.6,8.6,8.7,9,1,1,75,20,5.8
65,149,Homer,8/10/08,64,9.97,161,55.52,,64,9.58,161,53.44,114,11:30,11:57,26.6,1.0,9.1,9.1,9.1,5,1,1,75,20,1.7
66,148,Homer,8/10/08,64,10.01,161,32.58,,64,9.04,161,32.16,169,13:30,13:57,27.0,1.0,8.1,8.1,8.1,8,1,1,75,20,4.5
67,175,Homer,8/10/08,64,19.99,161,54.55,,64,20.22,161,52.22,77,15:58,16:26,28.0,1.0,7.8,7.9,8.0,2,1,1,75,20,4.6
68,176,Homer,8/10/08,64,20.07,162,16.91,,64,19.26,162,18.21,215,18:07,18:35,27.4,1.0,8.7,8.8,8.9,2,1,1,75,20,2.3
69,185,Homer,8/11/08,64,20.02,165,44.69,,64,20.73,165,46.33,315,5:59,6:26,27.5,1.0,10.9,10.4,12.0,9,1,2,75,20,7.9
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,skipper left blanks,,,,
