Haul #,Station #,Net,Date,Gross Catch (pounds),Gross Catch (kg),Tare (lbs),Tare (kg),Large Fish & Debris (kg),Red King Crab (kg),Adjusted Net Catch (kg),Subsample Weight,Subsample weight from station catch total,Difference between subsample baskets & species,Raising factor,Remarks
49,98,1,7/27,781,355,300,136,,,219,77.95,69.98,7.97,2.8,
50,97,1,7/27,640,291,323,147,,,144,46.45,43.46,2.99,3.1,
51,94,2,7/27,"1,290",586,302,137,247.00,0.53,202,64.50,54.69,9.82,3.1,0.81 nmi tow; boulder
52,179,2,7/28,738,335,304,138,,0.50,197,61.40,58.40,3.00,3.2,
53,180,2,7/28,,0,,0,,,0,0.00,0,0.00,,"BAD TRAWL, NET SHREDDED, NO SAMPLE"
54,180,2,7/30,300,136,230,105,,0.10,32,48.15,44.45,3.70,0.7,WHOLE HAUL SAMPLED (Net #2 repaired)
55,181,2,7/30,393,179,261,119,,,60,68.05,59.15,8.90,0.9,WHOLE HAUL SAMPLED; 0.81 nmi tow
56,202,2,7/30,508,231,270,123,11.75,,96,52.10,49.88,2.22,1.9,
57,203,2,7/31,685,311,282,128,5.20,,178,67.90,63.32,4.58,2.6,
58,182,2,7/31,"1,030",468,308,140,,,328,61.95,58.68,3.27,5.3,
59,183,2,7/31,"1,150",523,302,137,113.10,7.40,265,62.35,57.95,4.40,4.2,Large rocks
60,184,2,7/31,728,331,303,138,,14.95,178,47.60,43.64,3.96,3.7,
61,176,2,8/6,712,324,295,134,,4.25,185,47.30,45.16,2.14,3.9,1st NSEDC TRAWL
62,175,2,8/6,"1,550",705,325,148,370.00,,187,42.40,40.68,1.72,4.4,boulder
63,200,2,8/7,757,344,304,138,,,206,54.15,52.20,1.95,3.8,
64,220A,2,8/7,"3,250","1,477",320,145,513.05,,819,88.30,88.63,-0.33,9.3,Net torn by 1000lb boulder
65,147,2,8/9,535,243,262,119,,,124,32.55,30.30,2.25,3.8,Net torn by large tree
66,121,2,8/9,660,300,302,137,,,163,37.60,34.69,2.91,4.3,
67,148,2,8/9,"1,252",569,316,144,,,425,60.15,55.92,4.23,7.1,
68,149,2,8/9,668,304,328,149,,,155,36.95,35.46,1.49,4.2,
69,122,2,8/9,690,314,282,128,,50.05,135,39.05,32.94,6.11,3.5,
70,122RT,2,8/9,620,282,304,138,,25.00,119,18.30,18.30,0.00,6.5,"Subsample weight not recorded, sum of individual catch record weights used"
71,205A,2,8/15,896,407,276,125,,,282,37.90,38.17,-0.27,7.4,
