"Spcode","me","Taxon.Confidence","ADFG","NBS","p.value"
71634,"Tachyrhynchus erosus",,0,3.19085440468693,1
71639,"Calyptraeidae",,0.0885755911180649,0,1
71753,"Pyrulofusus deformis","High",51.7989990732582,0,0.5
71772,"Beringius beringii","Low",26.6966467937611,7.22748085951677,0.5
71882,"Neptunea ventricosa","Low",84.3710239972985,11.3110514217963,0.5
71884,"Neptunea heros","Low",391.770125628649,404.347548202344,1
74080,"Mytilus edulis",,38.9822240986398,0,1
74311,"Hiatella arctica","Low",0.792961517656931,0,0.03125
74980,"Clinocardium sp.","Low",0,3.19085440468693,1
75284,"Serripes sp.","High",69.7604030670237,0,0.5
75287,"Serripes notabilis","Moderate",0,211.136381454746,1
80020,"Evasterias echinosoma","Moderate",184.250624026031,261.613979732128,0.4609375
80200,"Lethasterias nimensis","High",107.506195420421,82.6892416261402,0.4609375
80540,"Henricia sp.","High",0,3.32808891331843,0.5
80590,"Leptasterias polaris","High",0,0.53001526303123,1
80595,"Leptasterias sp.","High",3.64931435406427,1.53360772165862,0.625
81095,"Crossaster papposus","High",0,2.50503322041471,1
81742,"Asterias amurensis","High",2671.30266919554,3439.2112785828,0.1484375
82510,"Strongylocentrotus droebachiensis","Low",165.953502183771,539.509983836706,0.21875
82511,"Strongylocentrotus","Moderate",0,433.858762117442,1
83000,"Ophiuroid unident.","High",192.591570833418,0,1
83020,"Gorgonocephalus caryi","High",0,3.24299757532099,0.5
83320,"Ophiura sarsi","Low",0,707.019700976977,1
91000,"Porifera","High",7.79171884353602,8.3239350959816,1
95000,"Bryozoa (phylum)","Moderate",0,64.3656811479015,1
95020,"Eucratea loricata","Low",7.96279153571144,0,0.03125
95030,"Flustra serrulata","Low",0.0885755911180649,0,1
95039,"Alcyonidium disciforme",,0,62.8860732857088,0.25
98082,"Styela rustica","High",4.17157369060395,0,0.25
98105,"Boltenia ovifera","High",1.94911120493199,0,1
98300,"Ascidiacea",,0,500.268383412988,1
98310,"Aplidium sp.","High",145.041829094805,0,0.0625
98312,"Aplidium sp.",,0,114.075358960424,1
