NOAA_STATION,ADFG_Station,Vessel,Haul,Haul_rate,Month,Day,Year,Latitude,Longitude,Area_Nm2,Area_Swept_Nm2,Depth_m,Bottom_Temp,Surface_Temp
T-18,,162,15,,8,4,2017,61.33044,-168.74267,,0.013418488,34,8.9,10
T-19,,94,16,,8,4,2017,61.32645,-169.45852,,0.01281906,40,4.4,10.9
T-20,,162,10,,8,3,2017,61.33137,-170.1774,,0.013664677,47,-0.4,10.7
T-21,,94,11,,8,3,2017,61.33543,-170.84629,,0.012993533,49,-0.7,10.6
T-22,,94,9,,8,2,2017,61.3312,-171.5116,,0.013192798,55,-1.1,11.8
T-23,,94,4,,8,1,2017,61.33567,-172.25823,,0.015582501,64,-1.4,11.8
T-24,,94,3,,8,1,2017,61.34035,-172.93407,,0.009243025,68,-1.4,11.5
U-01,,162,86,,8,101,2017,61.66796,-168.0963,,0.012263198,29,7.3,9.1
U-02,,94,54,,8,26,2017,61.67795,-167.4185,,0.013252412,24,9.5,10.8
U-03,,94,20,,8,17,2017,61.64634,-166.74446,,0.013656568,22,12.4,12.5
U-18,,162,24,,8,15,2017,61.6664,-168.80322,,0.012947445,37,3.3,8.5
U-19,,162,25,,8,15,2017,61.66581,-169.50274,,0.013147484,42,0.9,9
U-20,,162,9,,8,3,2017,61.673,-170.221,,0.013392133,46,-0.5,10.8
U-21,,94,10,,8,3,2017,61.67597,-170.90997,,0.013278466,50,-1,9.6
U-22,,94,8,,8,2,2017,61.67415,-171.58834,,0.012885232,55,-1.3,11.2
U-23,,94,5,,8,2,2017,61.65951,-172.32618,,0.013648271,61,-1.4,10.5
U-24,,94,2,,8,1,2017,61.66846,-173.03584,,0.00716418,65,-1.5,10.6
V-01,,162,85,,8,101,2017,62.00126,-168.126,,0.011842371,29,6.8,8.6
V-02,,162,84,,8,101,2017,62.00017,-167.4425,,0.012990623,26,7.9,9.4
V-03,,94,21,,8,17,2017,61.99927,-166.69886,,0.013148356,21,11.8,13.4
V-18,,162,23,,8,15,2017,61.99596,-168.84087,,0.013353314,36,0.8,8.8
V-19,,162,26,,8,15,2017,62.00914,-169.54835,,0.014799782,42,-0.6,8.7
V-20,,162,28,,8,16,2017,62.00291,-170.25688,,0.013258577,46,-0.9,8.8
V-21,,162,8,,8,2,2017,61.99606,-170.96093,,0.013800937,50,-1.1,10.8
V-22,,94,7,,8,2,2017,61.99557,-171.65183,,0.012507183,51,-1.1,11.2
V-23,,94,6,,8,2,2017,61.99573,-172.36478,,0.012955829,55,-1.2,10.1
V-24,,94,1,,8,1,2017,62.00502,-173.08487,,0.013037254,58,-1.5,11
W-01,,162,81,,8,31,2017,62.33369,-168.15468,,0.012409855,31,8.2,8.4
W-02,,162,83,,8,31,2017,62.33883,-167.43722,,0.012223436,27,8.4,8.9
W-03,,94,22,,8,17,2017,62.3255,-166.72352,,0.012985633,22,11.2,11.8
W-18,,162,18,,8,11,2017,62.33254,-168.87068,,0.013635206,35,0.8,12
W-19,,162,27,,8,15,2017,62.33285,-169.59543,,0.012029537,37,0.5,7.6
W-20,,162,29,,8,16,2017,62.34174,-170.28428,,0.01256611,40,0.9,8
W-21,,162,7,,8,2,2017,62.33773,-171.05503,,0.013273008,43,-0.5,10.5
W-22,,162,6,,8,2,2017,62.33721,-171.7271,,0.012890098,48,-1,10.3
W-23,,162,5,,8,2,2017,62.33073,-172.44562,,0.013324687,54,-1.4,10.4
W-24,,162,4,,8,1,2017,62.34322,-173.17429,,0.013971122,60,-1.5,10.3
W-25,,162,3,,8,1,2017,62.34185,-173.88367,,0.014638289,64,-1.6,10.3
W-26,,162,2,,8,1,2017,62.34029,-174.64544,,0.013461613,71,-1.6,10.4
W-27,,162,1,,8,1,2017,62.33537,-175.29846,,0.014154317,79,-1.5,10.3
X-01,,162,80,,8,31,2017,62.6582,-168.18624,,0.012032955,34,7.9,8.5
X-02,,162,82,,8,31,2017,62.66205,-167.4697,,0.01229755,28,7.6,9
X-03,,94,23,,8,18,2017,62.64254,-166.74871,,0.012690789,26,8.6,11
X-18,,162,17,,8,11,2017,62.66072,-168.9003,,0.01230242,36,1.3,12.6
X-19,,162,22,,8,14,2017,62.66808,-169.5996,,0.013954125,40,6.9,7.3
X-20,,162,30,,8,16,2017,62.67032,-170.36448,,0.014298326,42,3.8,7
X-21,,162,31,,8,16,2017,62.66837,-171.08539,,0.01368483,45,0,4.7
X-22,,162,34,,8,17,2017,62.66896,-171.81505,,0.012247748,49,-0.9,8.1
X-23,,162,35,,8,17,2017,62.66936,-172.45574,,0.013091212,54,-0.8,8.9
X-24,,162,38,,8,18,2017,62.66956,-173.18391,,0.014424415,64,-1.5,9.2
X-25,,162,37,,8,18,2017,62.66693,-173.9141,,0.010466177,69,-1.5,9.6
X-26,,162,36,,8,18,2017,62.67109,-174.63527,,0.014274728,73,-1.4,8.2
Y-01,,162,76,,8,29,2017,63.00573,-168.22302,,0.011415761,40,7.7,9.2
Y-02,,162,79,,8,29,2017,62.99925,-167.48401,,0.012436862,34,6.7,9.6
Y-03,,94,24,,8,18,2017,62.99165,-166.75021,,0.012632494,28,5.8,9.1
Y-04,,94,25,,8,18,2017,63.00171,-166.03441,,0.012759206,21,10.1,10.2
Y-18,,162,16,,8,11,2017,62.93308,-168.98958,,0.01334458,30,2,10.2
Y-20,,162,21,,8,14,2017,62.94703,-170.46985,,0.014474801,42,1,4.1
Y-21,,162,20,,8,14,2017,62.99627,-171.11875,,0.014672625,47,-0.4,6.2
Y-22,,162,33,,8,17,2017,63.00052,-171.79863,,0.013002985,53,-0.3,8.5
Y-23,,162,43,,8,19,2017,63.00844,-172.60711,,0.014888988,61,-1.2,8.4
Y-24,,162,41,,8,19,2017,62.99536,-173.23229,,0.014165386,68,-1.5,9.5
Y-25,,162,39,,8,18,2017,62.99291,-174.00057,,0.015284016,74,-1.4,10.4
ZZ-01,,162,77,,8,29,2017,63.32491,-168.24356,,0.012036045,27,7.8,9.6
ZZ-02,,162,78,,8,29,2017,63.33061,-167.50802,,0.012265374,33,6.4,10.4
ZZ-03,,94,53,,8,25,2017,63.30944,-166.78954,,0.013749569,26,6.7,9.8
ZZ-04,,94,26,,8,18,2017,63.3369,-166.02704,,0.01300969,23,6.9,10.7
ZZ-05,,94,27,,8,19,2017,63.32452,-165.34078,,0.011726047,16,11.5,11.5
ZZ-21,,162,19,,8,14,2017,63.261,-171.11632,,0.012740065,34,0.5,2.1
ZZ-22,,162,32,,8,17,2017,63.3188,-171.91757,,0.008536092,60,-0.3,6.7
ZZ-23,,162,44,,8,19,2017,63.32529,-172.69137,,0.014092611,65,-1,8.3
ZZ-24,,162,40,,8,19,2017,63.33603,-173.41213,,0.013203333,71,-1.1,9.1
