"STATION_ID","DISTRICT","TOWS","STRATUM","TOTAL_AREA","SURVEY_YEAR"
"CC-06","Norton Sound",,10,17644,2019
"CC-07","Norton Sound",,10,17644,2019
"CC-08","Norton Sound",,10,17644,2019
"CC-09","Norton Sound",,10,17644,2019
"CC-10","Norton Sound",,10,17644,2019
"AA-10","Norton Sound",,10,17644,2019
"ZZ-02","Norton Sound",,10,17644,2019
"ZZ-03","Norton Sound",,10,17644,2019
"ZZ-04","Norton Sound",,10,17644,2019
"ZZ-05","Norton Sound",,10,17644,2019
"Y-02","Norton Sound",,10,17644,2019
"Y-03","Norton Sound",,10,17644,2019
"Y-04","Norton Sound",,10,17644,2019
"X-02","Norton Sound",,10,17644,2019
"X-03","Norton Sound",,10,17644,2019
"BB-02","Norton Sound",,10,17644,2019
"BB-03","Norton Sound",,10,17644,2019
"BB-04","Norton Sound",,10,17644,2019
"BB-05","Norton Sound",,10,17644,2019
"BB-06","Norton Sound",,10,17644,2019
"BB-07","Norton Sound",,10,17644,2019
"BB-08","Norton Sound",,10,17644,2019
"BB-09","Norton Sound",,10,17644,2019
"BB-10","Norton Sound",,10,17644,2019
"AA-02","Norton Sound",,10,17644,2019
"AA-03","Norton Sound",,10,17644,2019
"AA-04","Norton Sound",,10,17644,2019
"AA-05","Norton Sound",,10,17644,2019
"AA-06","Norton Sound",,10,17644,2019
"AA-07","Norton Sound",,10,17644,2019
"AA-08","Norton Sound",,10,17644,2019
"CC-02","Norton Sound",,10,17644,2019
"CC-03","Norton Sound",,10,17644,2019
"CC-04","Norton Sound",,10,17644,2019
"CC-05","Norton Sound",,10,17644,2019
"W-02","Norton Sound",,10,17644,2019
"W-03","Norton Sound",,10,17644,2019
"V-02","Norton Sound",,10,17644,2019
"V-03","Norton Sound",,10,17644,2019
"FF-02","Norton Sound",,10,17644,2022
"EE-02","Norton Sound",,10,17644,2022
"DD-02","Norton Sound",,10,17644,2022
"DD-03","Norton Sound",,10,17644,2022
"DD-09","Norton Sound",,10,17644,2022
"CC-06","Norton Sound",,10,17644,2022
"CC-07","Norton Sound",,10,17644,2022
"CC-08","Norton Sound",,10,17644,2022
"CC-09","Norton Sound",,10,17644,2022
"CC-10","Norton Sound",,10,17644,2022
"AA-10","Norton Sound",,10,17644,2022
"ZZ-02","Norton Sound",,10,17644,2022
"ZZ-03","Norton Sound",,10,17644,2022
"ZZ-04","Norton Sound",,10,17644,2022
"ZZ-05","Norton Sound",,10,17644,2022
"Y-02","Norton Sound",,10,17644,2022
"Y-03","Norton Sound",,10,17644,2022
"Y-04","Norton Sound",,10,17644,2022
"X-02","Norton Sound",,10,17644,2022
"X-03","Norton Sound",,10,17644,2022
"BB-02","Norton Sound",,10,17644,2022
"BB-03","Norton Sound",,10,17644,2022
"BB-04","Norton Sound",,10,17644,2022
"BB-05","Norton Sound",,10,17644,2022
"BB-06","Norton Sound",,10,17644,2022
"BB-07","Norton Sound",,10,17644,2022
"BB-08","Norton Sound",,10,17644,2022
"BB-09","Norton Sound",,10,17644,2022
"BB-10","Norton Sound",,10,17644,2022
"AA-02","Norton Sound",,10,17644,2022
"AA-03","Norton Sound",,10,17644,2022
"AA-04","Norton Sound",,10,17644,2022
"AA-05","Norton Sound",,10,17644,2022
"AA-06","Norton Sound",,10,17644,2022
"AA-07","Norton Sound",,10,17644,2022
"AA-08","Norton Sound",,10,17644,2022
"CC-02","Norton Sound",,10,17644,2022
"CC-03","Norton Sound",,10,17644,2022
"CC-04","Norton Sound",,10,17644,2022
"CC-05","Norton Sound",,10,17644,2022
"W-02","Norton Sound",,10,17644,2022
"W-03","Norton Sound",,10,17644,2022
"V-02","Norton Sound",,10,17644,2022
"V-03","Norton Sound",,10,17644,2022
