# NOAA_NBS_Haul_2023,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
NOAA_Station,Vessel,Haul,Haul_rate,Month,Day,Year,Latitude,Longitude,Swept_NM2,Depth_m,Bottom_Temp,Surface_Temp
Y-18,162,37,,8,12,2023,62.8683,-168.83146,0.012800098,39,2.1,8.3
Y-21,162,40,,8,13,2023,62.99212,-171.12916,0.0133907,47,0,8.4
Y-22,162,41,,8,13,2023,62.98291,-171.79643,0.014003347,52,-0.8,7.9
Y-25,162,44,,8,14,2023,62.9977,-174.01748,0.015417425,74,-1.5,8.1
ZZ-01,134,33,,8,11,2023,63.34754,-168.26787,0.012426855,31,4.3,7.8
ZZ-02,134,30,,8,10,2023,63.33958,-167.51748,0.01270798,33,5.1,7.6
ZZ-03,134,29,,8,10,2023,63.33233,-166.76024,0.01436104,28,6.4,8.7
ZZ-04,134,20,,8,2,2023,63.32436,-166.02985,0.010720081,24,7.9,9.2
ZZ-05,134,19,,8,2,2023,63.32683,-165.3545,0.010148804,17,10.6,10.5
ZZ-23,162,42,,8,13,2023,63.32522,-172.58325,0.0139006,63,0,7.8
ZZ-24,162,43,,8,13,2023,63.33937,-173.3823,0.013648416,70,-1.3,8.2
blank,162,6,,8,4,2023,63.69833,-171.06283,0.011596586,21,8.7,8.9
