# NOAA_NBS_Haul_2019,,,,,,,,,,,,
#  ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
# ,,,,,,,,,,,,
NOAA_Station,Vessel,Haul,Haul_rate,Month,Day,Year,Latitude,Longitude,Swept_NM2,Depth_m,Bottom_Temp,Surface_Temp
V-03,94,40,,8,9,2019,62.00497,-166.69534,0.01254264,22,11.9,13
V-02,94,41,,8,10,2019,61.99045,-167.4153,0.012557864,26,10.4,11.1
W-02,94,42,,8,10,2019,62.33572,-167.43813,0.012119153,27,8.7,10.6
X-02,94,43,,8,10,2019,62.66956,-167.44909,0.012466611,29,7.9,9.1
Y-02,94,44,,8,10,2019,62.99882,-167.48873,0.012937069,34,3.9,8.6
ZZ-02,94,45,,8,10,2019,63.34104,-167.51352,0.011294899,33,3.6,9.2
BB-03,94,47,,8,11,2019,63.99847,-166.81108,0.012965068,32,5.1,8.1
AA-03,94,48,,8,11,2019,63.66541,-166.78842,0.013172533,30,5.7,9
AA-04,94,49,,8,11,2019,63.67346,-166.06363,0.01366035,27,10.2,11.9
BB-04,94,50,,8,11,2019,64.0034,-166.05687,0.012084918,24,10.2,11.8
AA-02,94,51,,8,13,2019,63.67415,-167.51265,0.013428323,29,4,7.8
AA-01,94,53,,8,13,2019,63.67149,-168.26885,0.01416139,33,3.1,11.3
ZZ-01,94,54,,8,13,2019,63.34119,-168.2779,0.014323902,33,2.3,6.5
Y-01,94,55,,8,13,2019,63.00614,-168.21037,0.013789721,40,4.4,9.9
Y-18,94,57,,8,14,2019,62.87278,-168.82889,0.013334364,39,2.1,7
X-18,94,58,,8,14,2019,62.67068,-168.89166,0.013181737,38,2.3,10.5
X-01,94,59,,8,15,2019,62.66791,-168.18687,0.013890947,34,5.7,9.9
W-01,94,60,,8,15,2019,62.34296,-168.1391,0.013257158,31,7.5,10.8
W-18,94,61,,8,15,2019,62.33586,-168.8658,0.013849848,34,3.2,10.7
V-18,94,62,,8,15,2019,61.99791,-168.83718,0.013662987,36,4.8,11.3
V-01,94,63,,8,16,2019,61.99799,-168.12715,0.013159089,29,9.9,10.9
U-01,94,64,,8,16,2019,61.6656,-168.08387,0.013874831,29,10.6,10.7
U-18,94,65,,8,16,2019,61.66593,-168.80373,0.013258056,36,8.6,10.9
T-18,94,66,,8,16,2019,61.32822,-168.769,0.013107011,35,10.6,10.7
T-01,94,67,,8,17,2019,61.33131,-168.08544,0.01314175,29,11.2,11.3
T-02,94,68,,8,17,2019,61.34467,-167.36747,0.01221677,24,12.5,12.6
U-02,94,69,,8,17,2019,61.66679,-167.39033,0.012665502,25,11.6,11.8
U-03,94,70,,8,17,2019,61.64759,-166.73471,0.011867889,22,12.9,13.6
T-03,94,72,,8,18,2019,61.32989,-166.68264,0.012585779,14,13.5,13.8
S-03,94,73,,8,18,2019,60.99759,-166.64744,0.012475884,18,14,14.2
R-03,94,74,,8,18,2019,60.66601,-166.63645,0.011897617,20,13.4,13.9
R-02,94,75,,8,18,2019,60.6635,-167.33004,0.013990837,25,12.5,12.8
S-02,94,76,,8,19,2019,61.00068,-167.36652,0.012750797,23,12.6,12.5
S-01,94,77,,8,19,2019,60.99856,-168.03584,0.012864485,30,11.9,11.9
S-18,94,78,,8,19,2019,60.99725,-168.71429,0.01232261,36,10.8,11.7
R-01,94,79,,8,19,2019,60.66522,-168.02251,0.013181442,30,12,12.2
R-18,94,80,,8,20,2019,60.66739,-168.69992,0.013844161,36,10.6,11.3
R-19,94,81,,8,20,2019,60.66889,-169.36521,0.012487746,42,7.5,11.3
W-27,162,1,,7,28,2019,62.31661,-175.31904,0.014958228,80,0.2,10.3
W-26,162,2,,7,29,2019,62.33512,-174.57173,0.014150019,71,-0.5,10.3
W-25,162,3,,7,29,2019,62.33425,-173.86337,0.014490163,64,0.3,10.2
W-24,162,4,,7,29,2019,62.33498,-173.15609,0.014555223,59,0.6,10.4
W-23,162,5,,7,29,2019,62.3282,-172.45148,0.013593931,55,0.5,10.8
V-23,162,6,,7,29,2019,62.00941,-172.37104,0.013422868,56,0.6,10.7
V-22,162,7,,7,30,2019,61.98524,-171.65581,0.013807034,53,0.8,10.8
W-22,162,8,,7,30,2019,62.322,-171.70654,0.013418942,47,0.7,10.6
W-21,162,9,,7,30,2019,62.33823,-171.04723,0.013829262,43,0.7,10.9
V-21,162,10,,7,30,2019,61.99793,-170.97815,0.013856006,50,0.7,10.9
CC-04,162,11,,8,4,2019,64.33278,-166.0458,0.013532761,23,12.3,12.4
CC-03,162,12,,8,4,2019,64.33899,-166.83319,0.012569841,30,11.2,12.2
DD-03,162,13,,8,4,2019,64.65728,-166.81831,0.011960494,25,11.9,12.8
DD-02,162,14,,8,5,2019,64.6739,-167.60594,0.012135558,30,8.5,8.8
EE-02,162,15,,8,5,2019,65.00611,-167.64385,0.01209112,34,9.9,10.8
FF-02,162,16,,8,5,2019,65.30246,-167.66927,0.011920549,38,9.6,10.3
FF-01,162,17,,8,5,2019,65.33502,-168.38779,0.013250278,53,3.9,10.6
FF-18,162,18,,8,5,2019,65.22397,-168.90444,0.012118351,53,2.1,7.5
EE-19,162,19,,8,6,2019,65.01169,-169.90252,0.012912978,50,2.8,3.9
EE-18,162,20,,8,6,2019,65.01249,-169.11489,0.014018461,49,2.3,4.7
EE-01,162,21,,8,6,2019,65.00024,-168.36148,0.012873834,45,3.7,10.8
DD-01,162,22,,8,6,2019,64.6631,-168.34923,0.011252545,41,2.1,9.2
CC-01,162,23,,8,7,2019,64.32977,-168.32124,0.011326395,40,3.4,11.3
CC-02,162,24,,8,7,2019,64.31802,-167.61301,0.011406883,31,5.5,8.6
BB-02,162,25,,8,7,2019,64.00194,-167.56855,0.012170675,35,4,8.7
BB-01,162,26,,8,7,2019,64.01046,-168.27732,0.012223711,37,3,11.8
AA-18,162,28,,8,8,2019,63.66753,-169.00785,0.012492002,36,6.3,10.4
AA-19,162,29,,8,8,2019,63.65616,-169.75459,0.011706661,39,7.2,10.2
BB-19,162,30,,8,8,2019,63.98846,-169.77752,0.011891949,35,3.3,8.8
CC-19,162,31,,8,8,2019,64.30333,-169.82463,0.012605174,39,2.6,8.9
CC-18,162,32,,8,9,2019,64.32958,-169.07654,0.011676827,40,2.4,8.8
DD-18,162,33,,8,9,2019,64.66013,-169.12056,0.007304921,44,2.2,8.4
DD-19,162,34,,8,9,2019,64.66201,-169.88556,0.013687133,47,1.8,3.6
DD-20,162,35,,8,10,2019,64.63456,-170.60516,0.014181272,48,2.7,2.7
CC-20,162,36,,8,10,2019,64.3301,-170.59159,0.012370116,37,1.9,7.3
CC-21,162,37,,8,10,2019,64.23254,-171.1042,0.012233338,40,2,10.2
BB-20,162,38,,8,10,2019,63.99309,-170.55962,0.012678956,29,4.4,10.4
AA-21,162,39,,8,11,2019,63.69961,-171.03479,0.006805742,21,8.3,10.8
BB-21,162,40,,8,11,2019,64.04964,-171.35319,0.01236799,32,3.8,10.6
BB-22,162,41,,8,11,2019,64.00155,-172.00702,0.009692226,53,1.5,10.6
AA-23,162,42,,8,13,2019,63.6616,-172.72117,0.014364252,56,0.3,9.8
AA-22,162,43,,8,13,2019,63.69839,-172.06145,0.005207633,35,0.7,10.8
ZZ-22,162,44,,8,13,2019,63.3,-171.98431,0.013459468,59,0.6,10.6
ZZ-23,162,45,,8,13,2019,63.33313,-172.64765,0.014658969,63,0.4,10.7
ZZ-24,162,46,,8,13,2019,63.33692,-173.40604,0.014575935,71,0,10.9
Y-23,162,47,,8,14,2019,63.02286,-172.60382,0.014545165,62,-0.5,10.2
Y-24,162,49,,8,14,2019,63.0105,-173.29301,0.014547468,70,-0.6,10.1
Y-25,162,50,,8,14,2019,63.00174,-174.0076,0.017564105,74,-0.2,11.1
X-26,162,52,,8,14,2019,62.66971,-174.6305,0.015579726,74,-0.1,10.6
X-25,162,53,,8,15,2019,62.65517,-173.90926,0.015223069,69,-0.5,10.1
X-24,162,54,,8,15,2019,62.66735,-173.19076,0.014854897,65,0.1,10.3
X-23,162,55,,8,15,2019,62.66877,-172.50886,0.013461421,55,0.8,10.3
X-22,162,56,,8,15,2019,62.66339,-171.8221,0.013491272,50,0.8,10
Y-22,162,57,,8,15,2019,62.97401,-171.80635,0.013682775,53,-0.6,10.6
ZZ-21,162,58,,8,16,2019,63.27309,-171.12351,0.006927244,31,1.3,7.5
Y-21,162,59,,8,16,2019,63.00214,-171.13227,0.013710995,48,-0.5,9.8
Y-20,162,60,,8,16,2019,62.94958,-170.49497,0.012338951,40,-0.2,9.5
X-21,162,61,,8,16,2019,62.67567,-171.09678,0.013900631,45,0.5,9.7
X-20,162,62,,8,17,2019,62.67188,-170.32994,0.012249039,40,0.2,10
X-19,162,63,,8,17,2019,62.67062,-169.64735,0.012421068,38,1.1,10
W-19,162,64,,8,17,2019,62.34628,-169.59005,0.013022954,36,2.7,10.6
W-20,162,65,,8,17,2019,62.32753,-170.282,0.012652489,41,2.6,10.7
V-20,162,66,,8,18,2019,61.99635,-170.24224,0.013749318,47,1.6,11.3
V-19,162,67,,8,18,2019,61.99204,-169.55975,0.014044237,42,2.4,11.3
U-19,162,68,,8,18,2019,61.67139,-169.50709,0.012294672,41,5.5,11.5
U-20,162,69,,8,18,2019,61.66449,-170.17797,0.013707509,46,2.5,11.5
T-20,162,70,,8,18,2019,61.33742,-170.17414,0.013149881,47,3.8,11.9
T-19,162,71,,8,19,2019,61.32734,-169.46487,0.011581164,40,8.7,11.5
S-19,162,72,,8,19,2019,60.99903,-169.42226,0.011519454,41,6.3,11.5
S-20,162,73,,8,19,2019,60.99224,-170.07322,0.013460099,48,4.1,11.5
S-21,162,74,,8,19,2019,60.99264,-170.76988,0.013673307,54,2.9,11.6
R-21,162,75,,8,20,2019,60.67075,-170.76827,0.014344142,59,3.1,11.5
R-20,162,76,,8,20,2019,60.66615,-170.09287,0.01398025,50,4.2,11.6
BB-18,162,27,,8,8,2019,63.95837,-169.03705,0.013469934,35,3.1,8.7
