Vessel,Haul,NMFS_Station,Date,Year,Sex,Size_mm,Shell,Egg color,Egg condition,Clutch,Sampling Factor
94,75,CC-07,8082010,2010,1,60,3,,,,1
94,75,CC-07,8082010,2010,1,89,3,,,,1
94,76,CC-06,8092010,2010,1,31,2,,,,1
94,76,CC-06,8092010,2010,1,51,2,,,,1
94,76,CC-06,8092010,2010,2,74,2,5,1,5,1
94,76,CC-06,8092010,2010,2,75,2,5,1,5,1
94,76,CC-06,8092010,2010,2,84,2,5,1,5,1
94,76,CC-06,8092010,2010,2,79,2,5,1,5,1
94,76,CC-06,8092010,2010,2,70,2,5,1,5,1
94,76,CC-06,8092010,2010,2,102,2,5,1,5,1
94,77,CC-05,8092010,2010,1,103,3,,,,1
94,77,CC-05,8092010,2010,1,94,3,,,,1
94,77,CC-05,8092010,2010,1,112,4,,,,1
94,77,CC-05,8092010,2010,1,93,3,,,,1
94,77,CC-05,8092010,2010,1,83,2,,,,1
94,77,CC-05,8092010,2010,1,89,2,,,,1
94,77,CC-05,8092010,2010,1,86,2,,,,1
94,77,CC-05,8092010,2010,1,96,2,,,,1
94,77,CC-05,8092010,2010,1,86,2,,,,1
94,77,CC-05,8092010,2010,1,107,2,,,,1
94,77,CC-05,8092010,2010,1,113,2,,,,1
94,77,CC-05,8092010,2010,1,120,2,,,,1
94,77,CC-05,8092010,2010,1,98,2,,,,1
94,77,CC-05,8092010,2010,1,97,2,,,,1
94,77,CC-05,8092010,2010,1,101,2,,,,1
94,77,CC-05,8092010,2010,1,106,2,,,,1
94,77,CC-05,8092010,2010,1,112,3,,,,1
94,77,CC-05,8092010,2010,1,141,4,,,,1
94,77,CC-05,8092010,2010,1,29,2,,,,1
94,77,CC-05,8092010,2010,1,101,2,,,,1
94,77,CC-05,8092010,2010,1,95,3,,,,1
94,77,CC-05,8092010,2010,1,86,3,,,,1
94,77,CC-05,8092010,2010,1,116,3,,,,1
94,77,CC-05,8092010,2010,1,99,2,,,,1
94,77,CC-05,8092010,2010,1,108,3,,,,1
94,77,CC-05,8092010,2010,1,132,4,,,,1
94,77,CC-05,8092010,2010,1,102,4,,,,1
94,77,CC-05,8092010,2010,1,101,2,,,,1
94,77,CC-05,8092010,2010,1,106,4,,,,1
94,77,CC-05,8092010,2010,1,97,3,,,,1
94,77,CC-05,8092010,2010,1,101,3,,,,1
94,77,CC-05,8092010,2010,1,116,3,,,,1
94,77,CC-05,8092010,2010,2,74,2,5,1,5,1
94,78,CC-04,8092010,2010,1,111,2,,,,1
94,78,CC-04,8092010,2010,1,72,2,,,,1
94,78,CC-04,8092010,2010,1,97,2,,,,1
94,78,CC-04,8092010,2010,2,90,2,5,1,6,1
94,78,CC-04,8092010,2010,2,58,2,0,0,0,1
94,81,W-03,8102010,2010,2,83,2,2,1,6,1
94,81,W-03,8102010,2010,2,91,2,2,1,6,1
162,74,AA-02,8282017,2017,1,142.3,2,,,,1
94,50,AA-04,8242017,2017,2,70.2,2,2,1,5,1
94,50,AA-04,8242017,2017,1,119.6,1,,,,1
94,50,AA-04,8242017,2017,2,75.6,2,0,0,0,1
94,30,AA-07,8192017,2017,1,54.3,2,,,,1
94,35,AA-10,8202017,2017,2,108.4,2,2,1,6,1
162,73,BB-02,8282017,2017,1,117.9,3,,,,1
94,51,BB-03,8252017,2017,1,116.6,4,,,,1
94,51,BB-03,8252017,2017,1,126.4,2,,,,1
94,51,BB-03,8252017,2017,1,120.1,4,,,,1
94,51,BB-03,8252017,2017,1,118.6,2,,,,1
94,51,BB-03,8252017,2017,1,112.9,2,,,,1
94,51,BB-03,8252017,2017,1,116.9,3,,,,1
94,49,BB-04,8242017,2017,1,88.1,2,,,,1
94,49,BB-04,8242017,2017,1,92.3,2,,,,1
94,49,BB-04,8242017,2017,1,124.6,4,,,,1
94,49,BB-04,8242017,2017,1,133.1,2,,,,1
94,49,BB-04,8242017,2017,1,79.3,2,,,,1
94,49,BB-04,8242017,2017,1,69.7,2,,,,1
94,49,BB-04,8242017,2017,2,74.9,2,0,0,0,1
94,48,BB-05,8242017,2017,1,72,2,,,,1
94,48,BB-05,8242017,2017,1,97,4,,,,1
94,48,BB-05,8242017,2017,1,114.6,4,,,,1
94,48,BB-05,8242017,2017,1,94.7,2,,,,1
94,42,BB-06,8222017,2017,2,102.6,2,2,1,6,1
94,32,BB-08,8202017,2017,1,25.7,2,,,,1
94,32,BB-08,8202017,2017,1,26.8,2,,,,1
94,32,BB-08,8202017,2017,1,31.6,2,,,,1
94,32,BB-08,8202017,2017,1,28.8,2,,,,1
94,32,BB-08,8202017,2017,2,24.4,2,0,0,0,1
94,32,BB-08,8202017,2017,2,27.5,2,0,0,0,1
94,32,BB-08,8202017,2017,2,25.9,2,0,0,0,1
94,32,BB-08,8202017,2017,2,28.7,2,0,0,0,1
94,32,BB-08,8202017,2017,2,31.6,2,0,0,0,1
94,32,BB-08,8202017,2017,2,32.9,2,0,0,0,1
94,32,BB-08,8202017,2017,2,26.2,2,0,0,0,1
94,32,BB-08,8202017,2017,2,29.1,2,0,0,0,1
94,32,BB-08,8202017,2017,1,31.4,2,,,,1
94,32,BB-08,8202017,2017,2,21.8,2,0,0,0,1
94,32,BB-08,8202017,2017,2,23.9,2,0,0,0,1
94,33,BB-09,8202017,2017,2,27.6,2,0,0,0,1
94,33,BB-09,8202017,2017,2,27.9,2,0,0,0,1
94,33,BB-09,8202017,2017,1,121.5,4,,,,1
94,33,BB-09,8202017,2017,1,19.2,1,,,,1
94,33,BB-09,8202017,2017,1,22.8,2,,,,1
94,33,BB-09,8202017,2017,1,27.7,2,,,,1
94,33,BB-09,8202017,2017,1,27.8,2,,,,1
94,33,BB-09,8202017,2017,1,74.9,2,,,,1
94,33,BB-09,8202017,2017,1,31.8,2,,,,1
94,33,BB-09,8202017,2017,1,29.4,2,,,,1
94,33,BB-09,8202017,2017,1,30.6,2,,,,1
94,33,BB-09,8202017,2017,2,98.1,2,2,1,6,1
94,33,BB-09,8202017,2017,2,78.2,2,2,1,6,1
94,33,BB-09,8202017,2017,2,29.9,2,0,0,0,1
94,33,BB-09,8202017,2017,2,20.3,2,0,0,0,1
94,33,BB-09,8202017,2017,2,28.3,2,0,0,0,1
94,33,BB-09,8202017,2017,2,23.6,2,0,0,0,1
94,33,BB-09,8202017,2017,2,23,2,0,0,0,1
94,33,BB-09,8202017,2017,2,28.4,2,0,0,0,1
94,33,BB-09,8202017,2017,2,27.9,2,0,0,0,1
94,33,BB-09,8202017,2017,2,22.6,2,0,0,0,1
94,33,BB-09,8202017,2017,2,28.1,2,0,0,0,1
94,33,BB-09,8202017,2017,2,27.1,2,0,0,0,1
94,33,BB-09,8202017,2017,2,25.4,2,0,0,0,1
94,45,CC-03,8232017,2017,1,78.5,2,,,,1
94,45,CC-03,8232017,2017,1,95.8,2,,,,1
94,45,CC-03,8232017,2017,1,101.1,2,,,,1
94,45,CC-03,8232017,2017,1,111.6,1,,,,1
94,45,CC-03,8232017,2017,1,93,3,,,,1
94,45,CC-03,8232017,2017,1,96.6,3,,,,1
94,45,CC-03,8232017,2017,1,112.1,3,,,,1
94,45,CC-03,8232017,2017,1,134.5,4,,,,1
94,45,CC-03,8232017,2017,1,122.2,3,,,,1
94,45,CC-03,8232017,2017,1,114.9,4,,,,1
94,45,CC-03,8232017,2017,1,120.7,3,,,,1
94,45,CC-03,8232017,2017,1,119.2,3,,,,1
94,45,CC-03,8232017,2017,2,66.9,2,0,0,0,1
94,45,CC-03,8232017,2017,1,104.9,3,,,,1
94,45,CC-03,8232017,2017,1,92.8,3,,,,1
94,45,CC-03,8232017,2017,1,72.3,3,,,,1
94,46,CC-04,8232017,2017,1,82.2,2,,,,1
94,47,CC-05,8242017,2017,1,114.1,4,,,,1
94,40,CC-07,8222017,2017,2,25.1,2,0,0,0,1
94,40,CC-07,8222017,2017,2,107.8,2,5,1,6,1
94,40,CC-07,8222017,2017,2,85.8,2,2,1,6,1
94,40,CC-07,8222017,2017,1,76.4,2,,,,1
94,40,CC-07,8222017,2017,1,86.8,2,,,,1
94,40,CC-07,8222017,2017,1,86.9,2,,,,1
94,40,CC-07,8222017,2017,1,84.6,2,,,,1
94,40,CC-07,8222017,2017,1,80,2,,,,1
94,40,CC-07,8222017,2017,1,71.1,2,,,,1
94,40,CC-07,8222017,2017,1,84.5,2,,,,1
94,40,CC-07,8222017,2017,1,117,2,,,,1
94,40,CC-07,8222017,2017,1,109.1,2,,,,1
94,40,CC-07,8222017,2017,1,20.6,2,,,,1
94,40,CC-07,8222017,2017,1,20.9,2,,,,1
94,40,CC-07,8222017,2017,1,26.4,2,,,,1
94,40,CC-07,8222017,2017,1,91.5,2,,,,1
94,40,CC-07,8222017,2017,1,72.1,2,,,,1
94,40,CC-07,8222017,2017,2,77.6,2,2,1,5,1
94,39,CC-08,8212017,2017,2,10,2,0,0,0,1
94,38,CC-09,8212017,2017,2,26.8,2,0,0,0,1
94,38,CC-09,8212017,2017,1,24.9,2,,,,1
94,38,CC-09,8212017,2017,1,30.6,2,,,,1
94,38,CC-09,8212017,2017,1,24.7,2,,,,1
94,38,CC-09,8212017,2017,2,24.9,2,0,0,0,1
94,38,CC-09,8212017,2017,1,23.5,2,,,,1
94,38,CC-09,8212017,2017,1,25.2,2,,,,1
94,44,DD-03,8232017,2017,1,43.2,2,,,,1
94,44,DD-03,8232017,2017,1,70.8,3,,,,1
94,44,DD-03,8232017,2017,1,95.2,3,,,,1
94,44,DD-03,8232017,2017,1,20.4,2,,,,1
162,60,EE-02,8252017,2017,1,84.2,1,,,,1
162,60,EE-02,8252017,2017,1,36.6,2,,,,1
162,60,EE-02,8252017,2017,1,42.3,2,,,,1
162,60,EE-02,8252017,2017,1,34.5,2,,,,1
162,60,EE-02,8252017,2017,1,37.9,2,,,,1
162,60,EE-02,8252017,2017,1,38.7,2,,,,1
162,60,EE-02,8252017,2017,1,39.5,2,,,,1
162,60,EE-02,8252017,2017,1,33.2,2,,,,1
162,60,EE-02,8252017,2017,1,30.1,2,,,,1
162,60,EE-02,8252017,2017,1,44,2,,,,1
162,60,EE-02,8252017,2017,1,37.2,2,,,,1
162,60,EE-02,8252017,2017,1,33.8,2,,,,1
162,60,EE-02,8252017,2017,1,34.7,2,,,,1
162,60,EE-02,8252017,2017,2,37.7,2,0,0,0,1
162,60,EE-02,8252017,2017,2,35.3,2,0,0,0,1
162,60,EE-02,8252017,2017,2,31.9,2,0,0,0,1
162,60,EE-02,8252017,2017,2,30.5,2,0,0,0,1
162,60,EE-02,8252017,2017,1,37.1,2,,,,1
162,60,EE-02,8252017,2017,1,39.2,2,,,,1
162,60,EE-02,8252017,2017,1,44.7,2,,,,1
162,60,EE-02,8252017,2017,1,30.7,2,,,,1
162,60,EE-02,8252017,2017,1,40.3,2,,,,1
162,60,EE-02,8252017,2017,2,28.4,2,0,0,0,1
162,60,EE-02,8252017,2017,2,33.4,2,0,0,0,1
162,60,EE-02,8252017,2017,2,30.8,2,0,0,0,1
162,60,EE-02,8252017,2017,2,29.2,2,0,0,0,1
162,60,EE-02,8252017,2017,2,32,2,0,0,0,1
162,60,EE-02,8252017,2017,2,35.6,2,0,0,0,1
162,60,EE-02,8252017,2017,2,42.3,2,0,0,0,1
162,60,EE-02,8252017,2017,2,80.5,2,0,0,0,1
162,60,EE-02,8252017,2017,2,26.6,2,0,0,0,1
162,60,EE-02,8252017,2017,2,45,2,0,0,0,1
162,60,EE-02,8252017,2017,2,35.1,2,0,0,0,1
162,60,EE-02,8252017,2017,2,34.5,2,0,0,0,1
162,60,EE-02,8252017,2017,2,39.4,2,0,0,0,1
162,61,FF-02,8252017,2017,2,52.6,2,0,0,0,1
162,61,FF-02,8252017,2017,1,53.3,2,,,,1
162,61,FF-02,8252017,2017,1,71.2,2,,,,1
162,13,R-18,8042017,2017,1,128.3,4,,,,1
94,14,R-19,8042017,2017,2,104.9,2,5,1,6,1
94,15,S-19,8042017,2017,1,184.9,2,,,,1
94,15,S-19,8042017,2017,1,133.6,3,,,,1
162,11,S-20,8032017,2017,1,124.6,2,,,,1
162,87,T-01,9012017,2017,2,119.2,2,4,1,5,1
162,85,V-01,9012017,2017,1,145.8,3,,,,1
162,15,EE-02,,2019,1,34.7,2,,,,1
162,14,DD-02,,2019,1,86.7,3,,,,1
162,14,DD-02,,2019,1,75.2,3,,,,1
162,14,DD-02,,2019,1,110.5,3,,,,1
162,17,FF-01,,2019,1,98.5,3,,,,1
162,14,DD-02,,2019,1,91.9,3,,,,1
162,14,DD-02,,2019,1,84,3,,,,1
162,14,DD-02,,2019,1,71.7,3,,,,1
162,14,DD-02,,2019,1,73,3,,,,1
162,11,CC-04,,2019,1,73.1,2,,,,1
162,11,CC-04,,2019,1,132.2,4,,,,1
162,11,CC-04,,2019,1,133.8,4,,,,1
162,11,CC-04,,2019,1,80.5,2,,,,1
162,11,CC-04,,2019,1,66.9,2,,,,1
162,11,CC-04,,2019,1,85.8,2,,,,1
162,12,CC-03,,2019,1,92.3,3,,,,1
162,12,CC-03,,2019,1,87.7,3,,,,1
162,12,CC-03,,2019,1,82.4,3,,,,1
162,12,CC-03,,2019,1,96.6,3,,,,1
162,12,CC-03,,2019,1,78.3,2,,,,1
162,12,CC-03,,2019,1,41,2,,,,1
162,12,CC-03,,2019,1,46.6,2,,,,1
162,12,CC-03,,2019,1,46.1,2,,,,1
162,12,CC-03,,2019,1,47.4,2,,,,1
162,12,CC-03,,2019,1,63,2,,,,1
162,12,CC-03,,2019,1,39.6,2,,,,1
162,12,CC-03,,2019,1,64.4,2,,,,1
162,12,CC-03,,2019,1,67.3,2,,,,1
162,12,CC-03,,2019,1,77.8,2,,,,1
162,12,CC-03,,2019,1,41.6,2,,,,1
162,12,CC-03,,2019,1,63.4,2,,,,1
162,12,CC-03,,2019,1,45.9,2,,,,1
162,12,CC-03,,2019,1,82.8,2,,,,1
162,12,CC-03,,2019,1,61.8,2,,,,1
162,12,CC-03,,2019,1,45.7,2,,,,1
162,12,CC-03,,2019,1,75.3,2,,,,1
162,12,CC-03,,2019,1,68.1,2,,,,1
162,12,CC-03,,2019,1,81.3,2,,,,1
162,24,CC-02,,2019,1,127.4,2,,,,1
162,24,CC-02,,2019,1,105.3,2,,,,1
162,24,CC-02,,2019,1,70.7,2,,,,1
162,24,CC-02,,2019,1,77.5,2,,,,1
162,24,CC-02,,2019,1,98.7,2,,,,1
162,24,CC-02,,2019,1,73.4,2,,,,1
162,24,CC-02,,2019,1,74.2,2,,,,1
162,24,CC-02,,2019,1,96.4,2,,,,1
162,24,CC-02,,2019,1,85.2,2,,,,1
162,24,CC-02,,2019,1,80.3,2,,,,1
162,24,CC-02,,2019,1,71.8,2,,,,1
162,24,CC-02,,2019,1,83.7,2,,,,1
162,71,T-19,,2019,1,111.6,2,,,,1
94,49,AA-04,,2019,1,77.5,2,,,,1
94,49,AA-04,,2019,1,77.9,2,,,,1
94,49,AA-04,,2019,1,77,2,,,,1
94,49,AA-04,,2019,1,74,2,,,,1
94,49,AA-04,,2019,1,91.3,2,,,,1
94,49,AA-04,,2019,1,71.5,2,,,,1
94,49,AA-04,,2019,1,88.9,2,,,,1
94,49,AA-04,,2019,1,83.1,2,,,,1
94,49,AA-04,,2019,1,72.3,2,,,,1
94,49,AA-04,,2019,1,62.5,2,,,,1
94,14,CC-06,,2019,1,78.7,2,,,,1
94,16,BB-07,,2019,1,66.3,2,,,,1
94,16,BB-07,,2019,1,56.4,2,,,,1
94,16,BB-07,,2019,1,81.6,2,,,,1
94,16,BB-07,,2019,1,69.1,2,,,,1
94,23,BB-09,,2019,1,129.6,3,,,,1
94,23,BB-09,,2019,1,41.9,2,,,,1
94,23,BB-09,,2019,1,45.6,2,,,,1
94,29,AA-05,,2019,1,73,2,,,,1
94,29,AA-05,,2019,1,54.2,2,,,,1
94,48,AA-03,,2019,1,86.4,1,,,,1
94,48,AA-03,,2019,1,66.7,2,,,,1
94,48,AA-03,,2019,1,54.9,2,,,,1
94,48,AA-03,,2019,1,71.4,2,,,,1
94,48,AA-03,,2019,1,78.7,2,,,,1
94,48,AA-03,,2019,1,69.3,2,,,,1
94,48,AA-03,,2019,1,70.1,3,,,,1
94,48,AA-03,,2019,1,96.4,4,,,,1
94,48,AA-03,,2019,1,69.3,2,,,,1
94,48,AA-03,,2019,1,85.8,3,,,,1
94,48,AA-03,,2019,1,68.9,3,,,,1
94,48,AA-03,,2019,1,85.9,2,,,,1
94,48,AA-03,,2019,1,75.8,2,,,,1
94,48,AA-03,,2019,1,63.8,2,,,,1
94,48,AA-03,,2019,1,67.4,2,,,,1
94,48,AA-03,,2019,1,67.8,2,,,,1
94,48,AA-03,,2019,1,71.6,2,,,,1
94,48,AA-03,,2019,1,72.2,2,,,,1
94,48,AA-03,,2019,1,68.7,2,,,,1
94,47,BB-03,,2019,1,65.5,2,,,,1
94,47,BB-03,,2019,1,75.7,2,,,,1
94,47,BB-03,,2019,1,72.1,2,,,,1
94,47,BB-03,,2019,1,63.4,2,,,,1
94,47,BB-03,,2019,1,65.1,2,,,,1
94,47,BB-03,,2019,1,86.1,2,,,,1
94,47,BB-03,,2019,1,74.1,2,,,,1
94,47,BB-03,,2019,1,76.2,2,,,,1
94,47,BB-03,,2019,1,66.7,2,,,,1
94,47,BB-03,,2019,1,65.7,2,,,,1
94,47,BB-03,,2019,1,77,2,,,,1
94,47,BB-03,,2019,1,117.6,3,,,,1
94,50,BB-04,,2019,1,93.2,2,,,,1
94,50,BB-04,,2019,1,81.7,2,,,,1
94,10,CC-05,,2019,1,131.6,4,,,,1
94,10,CC-05,,2019,1,130.4,4,,,,1
94,10,CC-05,,2019,1,111,3,,,,1
94,10,CC-05,,2019,1,83.5,2,,,,1
94,10,CC-05,,2019,1,73.8,2,,,,1
94,10,CC-05,,2019,1,71.8,2,,,,1
94,10,CC-05,,2019,1,100.3,2,,,,1
94,11,BB-05,,2019,1,79.7,2,,,,1
94,11,BB-05,,2019,1,66.2,2,,,,1
94,11,BB-05,,2019,1,75.9,2,,,,1
94,11,BB-05,,2019,1,81.1,2,,,,1
94,11,BB-05,,2019,1,70.1,2,,,,1
94,11,BB-05,,2019,1,78.8,2,,,,1
94,11,BB-05,,2019,1,72.2,2,,,,1
94,11,BB-05,,2019,1,69.9,2,,,,1
94,11,BB-05,,2019,1,78.4,2,,,,1
94,11,BB-05,,2019,1,71.9,2,,,,1
94,11,BB-05,,2019,1,78.2,2,,,,1
94,11,BB-05,,2019,1,63.7,2,,,,1
94,11,BB-05,,2019,1,73.6,2,,,,1
94,11,BB-05,,2019,1,74.2,2,,,,1
94,11,BB-05,,2019,1,72.8,2,,,,1
94,11,BB-05,,2019,1,72.8,2,,,,1
94,11,BB-05,,2019,1,103.7,2,,,,1
94,11,BB-05,,2019,1,85.1,2,,,,1
94,11,BB-05,,2019,1,83.5,2,,,,1
94,11,BB-05,,2019,1,80.2,2,,,,1
94,11,BB-05,,2019,1,76.4,2,,,,1
94,12,BB-06,,2019,1,57.7,2,,,,1
94,12,BB-06,,2019,1,71.5,2,,,,1
94,12,BB-06,,2019,1,68.2,2,,,,1
94,12,BB-06,,2019,1,55.3,2,,,,1
94,12,BB-06,,2019,1,69.7,2,,,,1
94,12,BB-06,,2019,1,69,2,,,,1
94,12,BB-06,,2019,1,57,2,,,,1
94,12,BB-06,,2019,1,85.7,2,,,,1
94,12,BB-06,,2019,1,64.7,2,,,,1
94,12,BB-06,,2019,1,86.8,2,,,,1
94,12,BB-06,,2019,1,70.7,2,,,,1
94,12,BB-06,,2019,1,69,2,,,,1
94,12,BB-06,,2019,1,68.3,2,,,,1
94,12,BB-06,,2019,1,76.4,2,,,,1
94,12,BB-06,,2019,1,75.7,2,,,,1
94,14,CC-06,,2019,1,40.2,2,,,,1
94,31,ZZ-04,,2019,1,67,2,,,,1
94,31,ZZ-04,,2019,1,66.8,2,,,,1
94,31,ZZ-04,,2019,1,61.3,2,,,,1
94,44,Y-02,,2019,1,156.3,2,,,,1
94,47,BB-03,,2019,1,70.7,3,,,,1
94,47,BB-03,,2019,1,83.7,2,,,,1
94,47,BB-03,,2019,1,70.4,2,,,,1
94,47,BB-03,,2019,1,75.4,2,,,,1
94,50,BB-04,,2019,1,100.3,2,,,,1
94,50,BB-04,,2019,1,61.9,2,,,,1
94,50,BB-04,,2019,1,72.7,2,,,,1
94,50,BB-04,,2019,1,77.3,2,,,,1
94,81,R-19,,2019,1,137.2,3,,,,1
94,81,R-19,,2019,1,77.3,2,,,,1
94,11,BB-05,,2019,2,64.4,2,0,0,0,1
94,11,BB-05,,2019,2,60.8,2,0,0,0,1
94,11,BB-05,,2019,2,64.9,2,0,0,0,1
94,11,BB-05,,2019,2,65.8,2,0,0,0,1
94,11,BB-05,,2019,2,63.1,2,0,0,0,1
94,11,BB-05,,2019,2,68.8,2,0,0,0,1
94,11,BB-05,,2019,2,70.4,2,0,0,0,1
94,11,BB-05,,2019,2,68.4,2,0,0,0,1
94,11,BB-05,,2019,2,76.7,2,0,0,1,1
94,11,BB-05,,2019,2,68,2,0,0,0,1
94,12,BB-06,,2019,2,93.9,2,2,1,2,1
94,12,BB-06,,2019,2,67.2,2,0,0,0,1
94,12,BB-06,,2019,2,64.1,2,0,0,0,1
94,12,BB-06,,2019,2,62.5,2,0,0,0,1
94,12,BB-06,,2019,2,60.4,2,0,0,0,1
94,12,BB-06,,2019,2,62.5,2,0,0,0,1
94,12,BB-06,,2019,2,60.8,2,0,0,0,1
94,12,BB-06,,2019,2,62.8,2,0,0,0,1
94,12,BB-06,,2019,2,57.3,2,0,0,0,1
94,12,BB-06,,2019,2,67.5,2,0,0,0,1
94,29,AA-05,,2019,2,69.2,2,0,0,0,1
94,31,ZZ-04,,2019,2,89.1,2,2,1,5,1
94,31,ZZ-04,,2019,2,66.4,2,0,0,0,1
94,31,ZZ-04,,2019,2,68.7,2,0,0,0,1
94,31,ZZ-04,,2019,2,68.3,2,0,0,0,1
94,50,BB-04,,2019,2,77,2,2,1,5,1
94,50,BB-04,,2019,2,71.8,2,2,1,4,1
94,50,BB-04,,2019,2,77,2,2,1,5,1
94,50,BB-04,,2019,2,71.2,1,0,0,0,1
94,50,BB-04,,2019,2,70.9,2,0,0,0,1
162,16,FF-02,,2019,2,76.7,2,3,1,5,1
162,14,DD-02,,2019,2,59.4,2,0,0,0,1
162,12,CC-03,,2019,2,43.9,2,0,0,0,1
162,12,CC-03,,2019,2,38.1,2,0,0,0,1
162,12,CC-03,,2019,2,38.1,2,0,0,0,1
162,12,CC-03,,2019,2,39.1,2,0,0,0,1
162,12,CC-03,,2019,2,44.9,2,0,0,0,1
162,12,CC-03,,2019,2,44.3,2,0,0,0,1
162,12,CC-03,,2019,2,55.6,2,0,0,0,1
162,12,CC-03,,2019,2,46.6,2,0,0,0,1
162,12,CC-03,,2019,2,50.9,2,0,0,0,1
162,12,CC-03,,2019,2,58,2,0,0,0,1
162,12,CC-03,,2019,2,62.1,2,0,0,0,1
162,12,CC-03,,2019,2,63.7,2,0,0,0,1
162,12,CC-03,,2019,2,70.1,2,0,0,0,1
162,12,CC-03,,2019,2,60.2,2,0,0,0,1
162,12,CC-03,,2019,2,56.1,2,0,0,0,1
162,12,CC-03,,2019,2,53.2,2,0,0,0,1
162,12,CC-03,,2019,2,70.9,2,0,0,0,1
162,12,CC-03,,2019,2,65.4,2,0,0,0,1
162,12,CC-03,,2019,2,72.4,2,0,0,0,1
162,12,CC-03,,2019,2,65.5,2,0,0,0,1
162,12,CC-03,,2019,2,67.6,2,0,0,0,1
162,12,CC-03,,2019,2,70.4,2,0,0,0,1
162,12,CC-03,,2019,2,63.8,2,0,0,0,1
162,12,CC-03,,2019,2,65.2,2,0,0,0,1
