HAULJOIN,VESSEL,CRUISE,HAUL,HAUL_TYPE,PERFORMANCE,START_DATE,Month,Day,START_HOUR,DURATION,DISTANCE_FISHED,NET_WIDTH,NET_MEASURED,NET_HEIGHT,MID_LATITUDE,MID_LONGITUDE,GIS_STATION,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE,WIRE_LENGTH,GEAR,ACCESSORIES,SUBSAMPLE,AREA_SWEPT,SPECIES_CODE,SEX,LENGTH,LENGTH_1MM,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,MERUS_LENGTH,CHELA_HEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,CALCULATED_WEIGHT,CALCULATED_WEIGHT_1MM,WEIGHT,SAMPLING_FACTOR
-7128,94,201002,56,3,0,8052010,8,5,0,0.528,3.042,15.796,Y,2.182,62.9875,-166.02606,Y-04,19,21,11.9,7.9,137,44,15,1,0.014009556,69322,1,103,103,3,,,,,33,,,,,847.8110186,847.8110186,866,1
-7128,94,201002,56,3,0,8052010,8,5,0,0.528,3.042,15.796,Y,2.182,62.9875,-166.02606,Y-04,19,21,11.9,7.9,137,44,15,1,0.014009556,69322,1,109,109,4,,,,,,,,,,1012.843107,1012.843107,,1
-7128,94,201002,56,3,0,8052010,8,5,0,0.528,3.042,15.796,Y,2.182,62.9875,-166.02606,Y-04,19,21,11.9,7.9,137,44,15,1,0.014009556,69322,2,96,96,2,5,1,5,,,,,,,692.3775491,692.3775491,,1
-7129,94,201002,57,3,0,8052010,8,5,0,0.522,2.729,15.62,Y,2.591,63.33613,-166.03159,ZZ-04,21,24,11.8,3,137,44,15,1,0.012428039,69322,,,,,,,,,,,,,,,0,,
-7130,94,201002,58,3,0,8052010,8,5,0,0.491,2.926,16.323,Y,2.336,63.34069,-165.29594,ZZ-05,13,15,12.9,7.5,137,44,15,1,0.013924908,69322,2,86,86,2,5,1,6,,,,,,,516.3891518,516.3891518,,1
-7131,94,201002,59,3,0,8052010,8,5,0,0.498,2.686,15.731,Y,2.49,63.66316,-165.29859,AA-05,16,18,13.9,9.3,137,44,15,1,0.01231914,69322,1,95,95,2,,,,,31,,,,,657.6509473,657.6509473,758,1
-7131,94,201002,59,3,0,8052010,8,5,0,0.498,2.686,15.731,Y,2.49,63.66316,-165.29859,AA-05,16,18,13.9,9.3,137,44,15,1,0.01231914,69322,1,92,92,3,,,,,29,,,,,594.5912543,594.5912543,692,1
-7131,94,201002,59,3,0,8052010,8,5,0,0.498,2.686,15.731,Y,2.49,63.66316,-165.29859,AA-05,16,18,13.9,9.3,137,44,15,1,0.01231914,69322,1,128,128,4,,,,,43,,,,,1677.858641,1677.858641,1740,1
-7131,94,201002,59,3,0,8052010,8,5,0,0.498,2.686,15.731,Y,2.49,63.66316,-165.29859,AA-05,16,18,13.9,9.3,137,44,15,1,0.01231914,69322,1,86,86,3,,,,,25,,,,,481.0728017,481.0728017,456,1
-7131,94,201002,59,3,0,8052010,8,5,0,0.498,2.686,15.731,Y,2.49,63.66316,-165.29859,AA-05,16,18,13.9,9.3,137,44,15,1,0.01231914,69322,1,108,108,4,,,,,,,,,,983.9391151,983.9391151,,1
-7132,94,201002,60,3,0,8062010,8,6,0,0.492,2.702,15.375,Y,2.499,63.66285,-166.04161,AA-04,24,26,11.4,3,137,44,15,1,0.012112074,69322,,,,,,,,,,,,,,,0,,
-7133,94,201002,61,3,0,8062010,8,6,0,0.501,2.806,15.35,Y,2.536,63.99382,-166.0421,BB-04,21,24,11.9,2.1,137,44,15,1,0.012557815,69322,1,113,113,3,,,,,36,,,,,1134.253597,1134.253597,1144,1
-7134,94,201002,62,3,0,8062010,8,6,0,0.513,2.702,15.55,Y,2.41,63.99793,-165.30793,BB-05,16,18,12.2,8.1,137,44,15,1,0.012249935,69322,1,103,103,3,,,,,32,,,,,847.8110186,847.8110186,894,1
-7134,94,201002,62,3,0,8062010,8,6,0,0.513,2.702,15.55,Y,2.41,63.99793,-165.30793,BB-05,16,18,12.2,8.1,137,44,15,1,0.012249935,69322,1,96,96,3,,,,,29,,,,,679.6433435,679.6433435,762,1
-7134,94,201002,62,3,0,8062010,8,6,0,0.513,2.702,15.55,Y,2.41,63.99793,-165.30793,BB-05,16,18,12.2,8.1,137,44,15,1,0.012249935,69322,1,100,100,3,,,,,30,,,,,772.6326313,772.6326313,820,1
-7134,94,201002,62,3,0,8062010,8,6,0,0.513,2.702,15.55,Y,2.41,63.99793,-165.30793,BB-05,16,18,12.2,8.1,137,44,15,1,0.012249935,69322,1,87,87,2,,,,,27,,,,,498.8647505,498.8647505,506,1
-7134,94,201002,62,3,0,8062010,8,6,0,0.513,2.702,15.55,Y,2.41,63.99793,-165.30793,BB-05,16,18,12.2,8.1,137,44,15,1,0.012249935,69322,1,75,75,2,,,,,21,,,,,312.9671427,312.9671427,324,1
-7134,94,201002,62,3,0,8062010,8,6,0,0.513,2.702,15.55,Y,2.41,63.99793,-165.30793,BB-05,16,18,12.2,8.1,137,44,15,1,0.012249935,69322,1,109,109,3,,,,,34,,,,,1012.843107,1012.843107,1112,1
-7134,94,201002,62,3,0,8062010,8,6,0,0.513,2.702,15.55,Y,2.41,63.99793,-165.30793,BB-05,16,18,12.2,8.1,137,44,15,1,0.012249935,69322,1,88,88,3,,,,,27,,,,,517.1000462,517.1000462,1516,1
-7134,94,201002,62,3,0,8062010,8,6,0,0.513,2.702,15.55,Y,2.41,63.99793,-165.30793,BB-05,16,18,12.2,8.1,137,44,15,1,0.012249935,69322,1,100,100,3,,,,,,,,,,772.6326313,772.6326313,,1
-7134,94,201002,62,3,0,8062010,8,6,0,0.513,2.702,15.55,Y,2.41,63.99793,-165.30793,BB-05,16,18,12.2,8.1,137,44,15,1,0.012249935,69322,1,101,101,3,,,,,,,,,,797.1644531,797.1644531,,1
-7135,94,201002,63,3,0,8062010,8,6,0,0.523,2.944,15.479,Y,2.385,63.99528,-164.53422,BB-06,16,18,14.2,6.4,137,44,15,1,0.013286137,69322,1,94,94,2,,,,,29,,,,,636.148722,636.148722,644,1
-7135,94,201002,63,3,0,8062010,8,6,0,0.523,2.944,15.479,Y,2.385,63.99528,-164.53422,BB-06,16,18,14.2,6.4,137,44,15,1,0.013286137,69322,1,82,82,2,,,,,24,,,,,414.2223901,414.2223901,416,1
-7135,94,201002,63,3,0,8062010,8,6,0,0.523,2.944,15.479,Y,2.385,63.99528,-164.53422,BB-06,16,18,14.2,6.4,137,44,15,1,0.013286137,69322,1,100,100,3,,,,,,,,,,772.6326313,772.6326313,,1
-7135,94,201002,63,3,0,8062010,8,6,0,0.523,2.944,15.479,Y,2.385,63.99528,-164.53422,BB-06,16,18,14.2,6.4,137,44,15,1,0.013286137,69322,1,99,99,2,,,,,,,,,,748.6205327,748.6205327,,1
-7136,94,201002,64,3,0,8062010,8,6,0,0.516,2.978,15.196,Y,2.469,63.67554,-164.55433,AA-06,9,11,13,12,137,44,15,1,0.013193864,69322,,,,,,,,,,,,,,,0,,
-7137,94,201002,65,3,0,8072010,8,7,0,0.512,2.846,15.684,Y,2.646,63.99665,-163.79603,BB-07,17,20,15.2,5.7,137,44,15,1,0.013013969,69322,1,107,107,3,,,,,36,,,,,955.6025633,955.6025633,1058,1
-7137,94,201002,65,3,0,8072010,8,7,0,0.512,2.846,15.684,Y,2.646,63.99665,-163.79603,BB-07,17,20,15.2,5.7,137,44,15,1,0.013013969,69322,1,110,110,3,,,,,35,,,,,1042.320538,1042.320538,1032,1
-7137,94,201002,65,3,0,8072010,8,7,0,0.512,2.846,15.684,Y,2.646,63.99665,-163.79603,BB-07,17,20,15.2,5.7,137,44,15,1,0.013013969,69322,1,123,123,2,,,,,40,,,,,1480.454381,1480.454381,1322,1
-7137,94,201002,65,3,0,8072010,8,7,0,0.512,2.846,15.684,Y,2.646,63.99665,-163.79603,BB-07,17,20,15.2,5.7,137,44,15,1,0.013013969,69322,1,42,42,2,,,,,,,,,,50.63761384,50.63761384,,1
-7137,94,201002,65,3,0,8072010,8,7,0,0.512,2.846,15.684,Y,2.646,63.99665,-163.79603,BB-07,17,20,15.2,5.7,137,44,15,1,0.013013969,69322,1,113,113,4,,,,,,,,,,1134.253597,1134.253597,,1
-7138,94,201002,66,3,0,8072010,8,7,0,0.517,2.649,14.756,Y,2.709,63.66719,-163.82441,AA-07,12,15,13.9,9.6,137,44,15,1,0.011396425,69322,1,102,102,2,,,,,33,,,,,822.2219341,822.2219341,866,1
-7138,94,201002,66,3,0,8072010,8,7,0,0.517,2.649,14.756,Y,2.709,63.66719,-163.82441,AA-07,12,15,13.9,9.6,137,44,15,1,0.011396425,69322,2,87,87,2,5,1,6,,,,,,,532.5531381,532.5531381,416,1
-7139,94,201002,67,3,0,8072010,8,7,0,0.531,2.899,15.353,Y,2.533,63.66323,-163.06467,AA-08,12,15,14,8.3,137,44,15,1,0.012976558,69322,2,106,106,2,5,1,6,,,,,,,901.7301217,901.7301217,758,1
-7140,94,201002,68,3,0,8072010,8,7,0,0.517,2.877,15.36,Y,2.402,64.0014,-163.04936,BB-08,16,18,15.9,4.7,137,44,15,1,0.012883952,69322,1,109,109,3,,,,,37,,,,,1012.843107,1012.843107,1090,1
-7140,94,201002,68,3,0,8072010,8,7,0,0.517,2.877,15.36,Y,2.402,64.0014,-163.04936,BB-08,16,18,15.9,4.7,137,44,15,1,0.012883952,69322,1,76,76,3,,,,,22,,,,,326.2636806,326.2636806,356,1
-7140,94,201002,68,3,0,8072010,8,7,0,0.517,2.877,15.36,Y,2.402,64.0014,-163.04936,BB-08,16,18,15.9,4.7,137,44,15,1,0.012883952,69322,1,114,114,4,,,,,36,,,,,1166.084951,1166.084951,1248,1
-7140,94,201002,68,3,0,8072010,8,7,0,0.517,2.877,15.36,Y,2.402,64.0014,-163.04936,BB-08,16,18,15.9,4.7,137,44,15,1,0.012883952,69322,1,75,75,3,,,,,,,,,,312.9671427,312.9671427,,1
-7140,94,201002,68,3,0,8072010,8,7,0,0.517,2.877,15.36,Y,2.402,64.0014,-163.04936,BB-08,16,18,15.9,4.7,137,44,15,1,0.012883952,69322,1,23,23,2,,,,,,,,,,7.637425663,7.637425663,,1
-7140,94,201002,68,3,0,8072010,8,7,0,0.517,2.877,15.36,Y,2.402,64.0014,-163.04936,BB-08,16,18,15.9,4.7,137,44,15,1,0.012883952,69322,2,40,40,2,0,0,0,,,,,,,41.86328703,41.86328703,,1
-7140,94,201002,68,3,0,8072010,8,7,0,0.517,2.877,15.36,Y,2.402,64.0014,-163.04936,BB-08,16,18,15.9,4.7,137,44,15,1,0.012883952,69322,2,80,80,2,0,0,0,,,,,,,365.9669836,365.9669836,,1
-7141,94,201002,69,3,0,8072010,8,7,0,0.518,2.874,14.891,Y,2.593,64.00585,-162.29819,BB-09,15,18,17.7,4.9,137,44,15,1,0.012477531,69322,1,114,114,3,,,,,39,,,,,1166.084951,1166.084951,1300,1
-7141,94,201002,69,3,0,8072010,8,7,0,0.518,2.874,14.891,Y,2.593,64.00585,-162.29819,BB-09,15,18,17.7,4.9,137,44,15,1,0.012477531,69322,1,18,18,2,,,,,5,,,,,3.536187183,3.536187183,6,1
-7141,94,201002,69,3,0,8072010,8,7,0,0.518,2.874,14.891,Y,2.593,64.00585,-162.29819,BB-09,15,18,17.7,4.9,137,44,15,1,0.012477531,69322,1,17,17,2,,,,,,,,,,2.954990426,2.954990426,,1
-7141,94,201002,69,3,0,8072010,8,7,0,0.518,2.874,14.891,Y,2.593,64.00585,-162.29819,BB-09,15,18,17.7,4.9,137,44,15,1,0.012477531,69322,1,22,22,2,,,,,,,,,,6.642063997,6.642063997,,1
-7141,94,201002,69,3,0,8072010,8,7,0,0.518,2.874,14.891,Y,2.593,64.00585,-162.29819,BB-09,15,18,17.7,4.9,137,44,15,1,0.012477531,69322,2,20,20,2,0,0,0,,,,,,,4.78877844,4.78877844,,1
-7141,94,201002,69,3,0,8072010,8,7,0,0.518,2.874,14.891,Y,2.593,64.00585,-162.29819,BB-09,15,18,17.7,4.9,137,44,15,1,0.012477531,69322,2,16,16,2,0,0,0,,,,,,,2.382837837,2.382837837,,1
-7142,94,201002,70,3,4.2,8082010,8,8,0,0.247,1.243,15.24,Y,2.732,63.65805,-161.56894,AA-10,12,15,15.6,8.8,137,44,15,1,0.005522988,69322,2,78,78,2,5,1,5,,,,,,,398.038634,398.038634,,1
-7142,94,201002,70,3,4.2,8082010,8,8,0,0.247,1.243,15.24,Y,2.732,63.65805,-161.56894,AA-10,12,15,15.6,8.8,137,44,15,1,0.005522988,69322,2,80,80,2,5,1,5,,,,,,,425.8334346,425.8334346,,1
-7143,94,201002,71,3,0,8082010,8,8,0,0.521,2.848,15.68,Y,2.34,63.98905,-161.53701,BB-10,16,18,16.7,3,137,44,15,1,0.013019793,69322,2,59,59,2,0,0,0,,,,,,,141.1911053,141.1911053,,1
-7144,94,201002,72,3,0,8082010,8,8,0,0.505,2.833,15.272,Y,2.499,64.30979,-161.55086,CC-10,12,14,16.2,9.9,137,44,15,1,0.012614224,69322,2,98,98,2,5,1,4,,,,,,,731.5049481,731.5049481,584,1
-7145,94,201002,73,3,4.1,8082010,8,8,0,0.504,2.765,15.979,Y,2.536,64.33724,-162.25926,CC-09,16,19,15.9,3.9,137,44,15,1,0.012881391,69322,2,24,24,2,0,0,0,,,,,,,8.470327412,8.470327412,,1
-7145,94,201002,73,3,4.1,8082010,8,8,0,0.504,2.765,15.979,Y,2.536,64.33724,-162.25926,CC-09,16,19,15.9,3.9,137,44,15,1,0.012881391,69322,1,116,116,3,,,,,,,,,,1231.564379,1231.564379,,1
-7146,94,201002,74,3,2.4,8082010,8,8,0,0.527,2.805,15.539,Y,2.288,64.31491,-163.02948,CC-08,12,14,15,12.3,137,44,15,1,0.012707905,69322,,,,,,,,,,,,,,,0,,
-7147,94,201002,75,3,5.5,8082010,8,8,0,0.51,2.864,16.32,Y,2.299,64.33338,-163.78524,CC-07,15,17,15.2,7.2,137,44,15,1,0.013627344,69322,1,29,29,2,,,,,9,,,,,15.8192394,15.8192394,16,1
-7147,94,201002,75,3,5.5,8082010,8,8,0,0.51,2.864,16.32,Y,2.299,64.33338,-163.78524,CC-07,15,17,15.2,7.2,137,44,15,1,0.013627344,69322,1,27,27,2,,,,,,,,,,12.63853411,12.63853411,,1
-7147,94,201002,75,3,5.5,8082010,8,8,0,0.51,2.864,16.32,Y,2.299,64.33338,-163.78524,CC-07,15,17,15.2,7.2,137,44,15,1,0.013627344,69322,1,46,46,2,,,,,,,,,,67.38802939,67.38802939,,1
-7147,94,201002,75,3,5.5,8082010,8,8,0,0.51,2.864,16.32,Y,2.299,64.33338,-163.78524,CC-07,15,17,15.2,7.2,137,44,15,1,0.013627344,69322,1,27,27,2,,,,,,,,,,12.63853411,12.63853411,,1
-7147,94,201002,75,3,5.5,8082010,8,8,0,0.51,2.864,16.32,Y,2.299,64.33338,-163.78524,CC-07,15,17,15.2,7.2,137,44,15,1,0.013627344,69322,1,22,22,2,,,,,,,,,,6.642063997,6.642063997,,1
-7147,94,201002,75,3,5.5,8082010,8,8,0,0.51,2.864,16.32,Y,2.299,64.33338,-163.78524,CC-07,15,17,15.2,7.2,137,44,15,1,0.013627344,69322,1,22,22,2,,,,,,,,,,6.642063997,6.642063997,,1
-7147,94,201002,75,3,5.5,8082010,8,8,0,0.51,2.864,16.32,Y,2.299,64.33338,-163.78524,CC-07,15,17,15.2,7.2,137,44,15,1,0.013627344,69322,1,109,109,3,,,,,,,,,,1012.843107,1012.843107,,1
-7147,94,201002,75,3,5.5,8082010,8,8,0,0.51,2.864,16.32,Y,2.299,64.33338,-163.78524,CC-07,15,17,15.2,7.2,137,44,15,1,0.013627344,69322,1,95,95,3,,,,,,,,,,657.6509473,657.6509473,,1
-7147,94,201002,75,3,5.5,8082010,8,8,0,0.51,2.864,16.32,Y,2.299,64.33338,-163.78524,CC-07,15,17,15.2,7.2,137,44,15,1,0.013627344,69322,1,60,60,3,,,,,,,,,,155.2644489,155.2644489,,1
-7147,94,201002,75,3,5.5,8082010,8,8,0,0.51,2.864,16.32,Y,2.299,64.33338,-163.78524,CC-07,15,17,15.2,7.2,137,44,15,1,0.013627344,69322,1,89,89,3,,,,,,,,,,535.7845096,535.7845096,,1
-7148,94,201002,76,3,0,8092010,8,9,0,0.518,2.999,15.369,Y,2.449,64.32627,-164.52412,CC-06,13,15,12.3,10.4,137,44,15,1,0.013438169,69322,1,31,31,2,,,,,8,,,,,19.50609079,19.50609079,16,1
-7148,94,201002,76,3,0,8092010,8,9,0,0.518,2.999,15.369,Y,2.449,64.32627,-164.52412,CC-06,13,15,12.3,10.4,137,44,15,1,0.013438169,69322,1,51,51,2,,,,,,,,,,93.18656381,93.18656381,,1
-7148,94,201002,76,3,0,8092010,8,9,0,0.518,2.999,15.369,Y,2.449,64.32627,-164.52412,CC-06,13,15,12.3,10.4,137,44,15,1,0.013438169,69322,2,74,74,2,5,1,5,,,,,,,345.9163132,345.9163132,286,1
-7148,94,201002,76,3,0,8092010,8,9,0,0.518,2.999,15.369,Y,2.449,64.32627,-164.52412,CC-06,13,15,12.3,10.4,137,44,15,1,0.013438169,69322,2,75,75,2,5,1,5,,,,,,,358.5197212,358.5197212,288,1
-7148,94,201002,76,3,0,8092010,8,9,0,0.518,2.999,15.369,Y,2.449,64.32627,-164.52412,CC-06,13,15,12.3,10.4,137,44,15,1,0.013438169,69322,2,84,84,2,5,1,5,,,,,,,484.9891681,484.9891681,414,1
-7148,94,201002,76,3,0,8092010,8,9,0,0.518,2.999,15.369,Y,2.449,64.32627,-164.52412,CC-06,13,15,12.3,10.4,137,44,15,1,0.013438169,69322,2,79,79,2,5,1,5,,,,,,,411.789494,411.789494,,1
-7148,94,201002,76,3,0,8092010,8,9,0,0.518,2.999,15.369,Y,2.449,64.32627,-164.52412,CC-06,13,15,12.3,10.4,137,44,15,1,0.013438169,69322,2,70,70,2,5,1,5,,,,,,,298.2832177,298.2832177,,1
-7148,94,201002,76,3,0,8092010,8,9,0,0.518,2.999,15.369,Y,2.449,64.32627,-164.52412,CC-06,13,15,12.3,10.4,137,44,15,1,0.013438169,69322,2,102,102,2,5,1,5,,,,,,,813.8379335,813.8379335,,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,106,106,4,,,,,,,,,,927.8274586,927.8274586,,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,97,97,3,,,,,,,,,,702.1318037,702.1318037,,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,101,101,3,,,,,,,,,,797.1644531,797.1644531,,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,116,116,3,,,,,,,,,,1231.564379,1231.564379,,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,2,74,74,2,5,1,5,,,,,,,345.9163132,345.9163132,,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,103,103,3,,,,,33,,,,,847.8110186,847.8110186,876,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,94,94,3,,,,,29,,,,,636.148722,636.148722,692,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,112,112,4,,,,,34,,,,,1103.019764,1103.019764,1124,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,93,93,3,,,,,27,,,,,615.1307828,615.1307828,604,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,83,83,2,,,,,25,,,,,430.2989699,430.2989699,456,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,89,89,2,,,,,26,,,,,535.7845096,535.7845096,566,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,86,86,2,,,,,26,,,,,481.0728017,481.0728017,432,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,96,96,2,,,,,30,,,,,679.6433435,679.6433435,730,1
-7149,94,201002,77,3,0,8092010,8,9,0,0.496,2.785,15.8,Y,2.348,64.32405,-165.31513,CC-05,22,24,11.5,7.1,137,44,15,1,0.012829222,69322,1,86,86,2,,,,,27,,,,,481.0728017,481.0728017,488,1
