HAULJOIN,VESSEL,CRUISE,HAUL,HAUL_TYPE,PERFORMANCE,START_DATE,START_HOUR,DURATION,DISTANCE_FISHED,NET_WIDTH,NET_MEASURED,NET_HEIGHT,MID_LATITUDE,MID_LONGITUDE,GIS_STATION,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE,WIRE_LENGTH,GEAR,ACCESSORIES,SUBSAMPLE,AREA_SWEPT_VARIABLE,AREA_SWEPT_FIXED,SPECIES_CODE,SEX,LENGTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,MERUS_LENGTH,CHELA_HEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,CALCULATED_WEIGHT,WEIGHT,SAMPLING_FACTOR
4172,19,197601,189,3,0,6151976,1500,0.5,2.593,17,N,,59.35,-173.75,N-26,108,108,,,320,30,539,7,0.012851963,0.011521407,69323,1,120,2,,,,,,,,,,1448.933185,,1
4172,19,197601,189,3,0,6151976,1500,0.5,2.593,17,N,,59.35,-173.75,N-26,108,108,,,320,30,539,7,0.012851963,0.011521407,69323,1,110,2,,,,,,,,,,1105.689868,,1
4172,19,197601,189,3,0,6151976,1500,0.5,2.593,17,N,,59.35,-173.75,N-26,108,108,,,320,30,539,7,0.012851963,0.011521407,69323,1,75,2,,,,,,,,,,336.3685028,,1
4174,19,197601,191,3,0,6161976,700,0.5,3.148,17,N,,59.35,-173.05,N-25,104,104,,,274,30,539,7,0.015602769,0.013987424,69323,1,123,2,,,,,,,,,,1564.476714,,1
4176,19,197601,193,3,0,6161976,1100,0.5,3.148,17,N,,59,-172.86667,M-25,104,104,,,274,30,539,7,0.015602769,0.013987424,69323,,,,,,,,,,,,,,,
4178,19,197601,195,3,0,6161976,1400,0.5,3.519,17,N,,58.95,-172.3,M-24,95,95,,,274,30,539,7,0.017441596,0.015635878,69323,,,,,,,,,,,,,,,
7307,28,197801,105,3,0,7221978,1300,0.5,3.148,12.19,N,,59.35,-171.18917,N-22,73,73,6.4,0.2,274,20,34,7,0.011188103,0.011189939,69323,,,,,,,,,,,,,,,
7308,28,197801,106,3,0,7221978,1500,0.5,3.519,12.19,N,,59.68334,-171.28834,O-22,70,70,6.7,,229,20,34,7,0.01250665,0.012508702,69323,,,,,,,,,,,,,,,
7309,28,197801,107,3,0,7221978,1800,0.5,3.704,12.19,N,,60.02334,-171.29583,P-22,66,66,6.5,0.1,229,20,34,7,0.013164147,0.013166307,69323,,,,,,,,,,,,,,,
7310,28,197801,108,3,0,7231978,700,0.5,3.519,12.19,N,,60.33667,-171.385,Q-22,64,64,6.5,,229,20,34,7,0.01250665,0.012508702,69323,,,,,,,,,,,,,,,
7311,28,197801,109,3,0,7231978,1000,0.5,3.704,12.19,N,,60.35167,-172.05167,Q-23,57,57,6.6,0.4,229,20,34,7,0.013164147,0.013166307,69323,1,89,2,,,,,,,,,,572.4881102,,1
7311,28,197801,109,3,0,7231978,1000,0.5,3.704,12.19,N,,60.35167,-172.05167,Q-23,57,57,6.6,0.4,229,20,34,7,0.013164147,0.013166307,69323,1,111,2,,,,,43,,,,,1137.222316,,1
7311,28,197801,109,3,0,7231978,1000,0.5,3.704,12.19,N,,60.35167,-172.05167,Q-23,57,57,6.6,0.4,229,20,34,7,0.013164147,0.013166307,69323,2,77,2,0,0,0,,,,,,,395.5979224,,1
7311,28,197801,109,3,0,7231978,1000,0.5,3.704,12.19,N,,60.35167,-172.05167,Q-23,57,57,6.6,0.4,229,20,34,7,0.013164147,0.013166307,69323,1,103,2,,,,,,,,,,901.3781008,,1
7311,28,197801,109,3,0,7231978,1000,0.5,3.704,12.19,N,,60.35167,-172.05167,Q-23,57,57,6.6,0.4,229,20,34,7,0.013164147,0.013166307,69323,1,104,2,,,,,43,,,,,928.8487342,,1
7311,28,197801,109,3,0,7231978,1000,0.5,3.704,12.19,N,,60.35167,-172.05167,Q-23,57,57,6.6,0.4,229,20,34,7,0.013164147,0.013166307,69323,1,70,2,,,,,,,,,,271.4656307,,1
7311,28,197801,109,3,0,7231978,1000,0.5,3.704,12.19,N,,60.35167,-172.05167,Q-23,57,57,6.6,0.4,229,20,34,7,0.013164147,0.013166307,69323,1,82,2,,,,,,,,,,443.8392843,,1
7311,28,197801,109,3,0,7231978,1000,0.5,3.704,12.19,N,,60.35167,-172.05167,Q-23,57,57,6.6,0.4,229,20,34,7,0.013164147,0.013166307,69323,1,102,2,,,,,,,,,,874.4637473,,1
7311,28,197801,109,3,0,7231978,1000,0.5,3.704,12.19,N,,60.35167,-172.05167,Q-23,57,57,6.6,0.4,229,20,34,7,0.013164147,0.013166307,69323,1,70,2,,,,,25,,,,,271.4656307,,1
7311,28,197801,109,3,0,7231978,1000,0.5,3.704,12.19,N,,60.35167,-172.05167,Q-23,57,57,6.6,0.4,229,20,34,7,0.013164147,0.013166307,69323,1,92,2,,,,,35,,,,,634.6039561,,1
7311,28,197801,109,3,0,7231978,1000,0.5,3.704,12.19,N,,60.35167,-172.05167,Q-23,57,57,6.6,0.4,229,20,34,7,0.013164147,0.013166307,69323,1,63,2,,,,,23,,,,,195.676693,,1
7311,28,197801,109,3,0,7231978,1000,0.5,3.704,12.19,N,,60.35167,-172.05167,Q-23,57,57,6.6,0.4,229,20,34,7,0.013164147,0.013166307,69323,1,88,2,,,,,34,,,,,552.73709,,1
7312,28,197801,110,3,0,7231978,1300,0.5,3.519,12.19,N,,60.6575,-172.07,R-23,60,60,6.8,0.3,229,20,34,7,0.01250665,0.012508702,69323,,,,,,,,,,,,,,,
7313,28,197801,111,3,0,7231978,1500,0.5,3.704,12.19,N,,60.68667,-171.39584,R-22,60,60,6.8,0.6,229,20,34,7,0.013164147,0.013166307,69323,,,,,,,,,,,,,,,
7314,28,197801,112,3,0,7231978,1800,0.5,3.704,12.19,N,,60.995,-171.5125,S-22,57,57,6.8,0.6,229,20,34,7,0.013164147,0.013166307,69323,,,,,,,,,,,,,,,
7315,28,197801,113,3,0,7241978,700,0.5,3.704,12.19,N,,60.97333,-172.17334,S-23,62,62,6.9,0.2,229,20,34,7,0.013164147,0.013166307,69323,,,,,,,,,,,,,,,
7316,28,197801,114,3,0,7241978,1000,0.5,3.334,12.19,N,,60.97667,-172.80084,S-24,64,64,6.5,1.7,229,20,34,7,0.011849154,0.011851098,69323,,,,,,,,,,,,,,,
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,2,82,2,0,0,0,,28,,,,,456.3284027,362,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,97,2,,,,,38,,,,,748.0272264,658,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,98,2,,,,,,,,,,772.2496996,,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,74,2,,,,,28,,,,,322.6279651,292,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,120,2,,,,,53,,,,,1448.933185,1339,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,106,2,,,,,44,,,,,985.4827775,1012,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,118,2,,,,,49,,,,,1375.208257,1588,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,110,2,,,,,44,,,,,1105.689868,1011,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,87,2,,,,,,,,,,533.4533897,,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,127,2,,,,,55,,,,,1728.041942,1776,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,91,2,,,,,33,,,,,613.4156496,511,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,110,2,,,,,42,,,,,1105.689868,987,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,127,2,,,,,54,,,,,1728.041942,,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,93,3,,,,,38,,,,,656.2831571,669,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,2,78,2,0,0,0,,28,,,,,407.356644,356,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,116,2,,,,,48,,,,,1304.06991,1320,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,97,3,,,,,25,,,,,748.0272264,698,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,83,2,,,,,,,,,,460.874378,,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,118,2,,,,,,,,,,1375.208257,,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,108,2,,,,,42,,,,,1044.413812,,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,118,2,,,,,50,,,,,1375.208257,1367,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,108,2,,,,,42,,,,,1044.413812,965,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,100,2,,,,,40,,,,,822.2799809,781,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,129,2,,,,,53,,,,,1814.008928,,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,142,2,,,,,59,,,,,2444.576681,2187,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,99,2,,,,,40,,,,,796.9986341,,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,104,2,,,,,34,,,,,928.8487342,905,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,98,2,,,,,,,,,,772.2496996,,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,107,3,,,,,,,,,,1014.658171,,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,2,74,2,0,0,0,,26,,,,,361.4731634,271,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,2,69,2,0,0,0,,,,,,,308.3951163,,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,103,2,,,,,41,,,,,901.3781008,892,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,2,82,2,0,0,0,,26,,,,,456.3284027,388,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,128,2,,,,,56,,,,,1770.671642,1843,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,98,2,,,,,39,,,,,772.2496996,700,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,124,3,,,,,51,,,,,1604.3372,1636,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,120,2,,,,,36,,,,,1448.933185,1384,1
7317,28,197801,115,3,0,7241978,1200,0.5,3.334,12.19,N,,60.68167,-172.77417,R-24,44,44,5.5,,183,20,34,7,0.011849154,0.011851098,69323,1,118,2,,,,,44,,,,,1375.208257,1351,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,2,80,2,0,0,0,,,,,,,431.4538279,356,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,59,2,,,,,21,,,,,159.5955258,132,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,111,2,,,,,45,,,,,1137.222316,1026,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,73,2,,,,,,,,,,309.2731719,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,106,2,,,,,44,,,,,985.4827775,930,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,2,72,2,0,0,0,,,,,,,339.6759689,284,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,82,2,,,,,,,,,,443.8392843,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,104,2,,,,,37,,,,,928.8487342,852,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,65,2,,,,,24,,,,,215.6313771,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,101,2,,,,,39,,,,,848.0996974,658,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,2,72,2,0,0,0,,,,,,,339.6759689,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,89,2,,,,,31,,,,,572.4881102,570,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,91,2,,,,,,,,,,613.4156496,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,75,2,,,,,,,,,,336.3685028,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,88,2,,,,,35,,,,,552.73709,513,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,73,2,,,,,27,,,,,309.2731719,248,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,84,2,,,,,31,,,,,478.3474852,439,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,102,2,,,,,,,,,,874.4637473,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,78,2,,,,,,,,,,379.9623794,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,103,2,,,,,41,,,,,901.3781008,861,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,111,2,,,,,42,,,,,1137.222316,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,96,2,,,,,36,,,,,724.3252701,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,2,78,2,0,0,0,,,,,,,407.356644,331,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,102,2,,,,,,,,,,874.4637473,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,81,2,,,,,23,,,,,427.2363651,383,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,64,2,,,,,23,,,,,205.4898016,173,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,120,2,,,,,50,,,,,1448.933185,1377,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,137,2,,,,,,,,,,2186.916096,1953,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,118,2,,,,,44,,,,,1375.208257,1173,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,114,2,,,,,46,,,,,1235.46965,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,119,2,,,,,49,,,,,1411.744364,1173,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,106,2,,,,,40,,,,,985.4827775,1900,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,2,84,2,0,0,0,,,,,,,481.985569,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,114,2,,,,,48,,,,,1235.46965,1251,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,76,2,,,,,28,,,,,350.5005606,299,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,114,2,,,,,44,,,,,1235.46965,1005,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,78,2,,,,,21,,,,,379.9623794,,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,84,2,,,,,29,,,,,478.3474852,425,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,125,3,,,,,52,,,,,1644.88083,1591,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,119,2,,,,,48,,,,,1411.744364,1356,1
7318,28,197801,116,3,0,7241978,1500,0.5,3.148,12.19,N,,60.67084,-173.46167,R-25,64,64,7.1,1.9,229,20,34,7,0.011188103,0.011189939,69323,1,111,3,,,,,41,,,,,1137.222316,1078,1
