year,station,_NAME_,_10210,_10285,_21725,_21735,_23055,_43000,_69010,_80200,_81742,_10220,_21313,_68577,_68580,_69322,_80020,_80595,_82510,_83020,_98000,_21740,_71882,_71884,_68781,_75284,_81095,_20322,_21720,_10120,_10260
1976,128,cpue,55.902751333,2.0950052856,0.6932002783,359.8479667,12.570031713,7.7022253146,14.264521283,83.184033398,432.86506268,125.77733939,2.7882055639,,1.4018050073,55.902751333,10.78311544,30.808901258,1.5404450629,,1.2323560503,,2.7882055639,14.68044145,6.9936205857,2.7882055639,0.4621335189,,,,
1976,129,cpue,6.7690399107,,77.815987734,470.2897701,26.218374971,,,,,90.496282883,,,,196.22756744,,,,,,0.839137179,,,,,,,,,
1976,130,cpue,15.302487837,5.3651500906,9.1781183939,206.62576465,7.6596796891,,,,,352.02470641,1.535310246,,,76.529310726,,,,,,0.7592193524,,,,,,,,,
1976,131,cpue,16.91327603,21.146256911,0.839137179,181.85035044,1.6969218509,,,,,296.04759676,0.839137179,,,270.66835896,,,,,,0.839137179,,,,,,,,,
1976,132,cpue,20.084515286,34.145890376,3.011570098,344.51476165,12.046280392,6.6431693339,26.794116313,161.65045379,562.4550036,50.222360164,30.137844878,,3.011570098,371.64103643,261.2979938,,,2.214389778,1.7715118224,0.9964754001,,,,,,,,,
1976,133,cpue,4.4681464853,8.9362929706,4.4681464853,557.12078467,55.349902716,5.9050394079,22.261998568,616.09244489,2592.3123001,339.28388091,71.431293371,0.3936692939,,276.76919705,196.83464693,3.9366929386,,23.206804873,4.1335275855,3.5627071094,,,,,0.5905039408,,,,
1976,134,cpue,,,1.8965597157,11.337675663,1.8965597157,14.58892089,154.26741775,70.860472894,25.009578669,,1.8965597157,,4.7309786315,,,29.17784178,4.1682631114,86.03295062,11.462723556,,6.6275383472,7.5653975473,,0.9378592001,2.0841315557,,,,
1976,150,cpue,138.2015423,86.780459138,9.6370243136,72.844566135,3.2123414379,,651.34946685,363.75042752,2406.8940626,17.14823444,5.3617757823,1.1810078816,,107.14103502,148.80699308,21.258141868,172.42715071,,30.706204921,,7.5112101268,14.998800096,123.20274221,2.1494343445,,,,,
1976,151,cpue,6.5480325878,2.9787643235,5.3539023965,232.13366028,13.686569116,,25.444158693,133.84755991,534.07800867,9.5267969114,1.1941301914,,,26.782634292,62.987087017,13.515979089,7.8733858772,,5.2489239181,,1.7846341322,2.9787643235,7.7421627792,,0.3936692939,,,,
1976,152,cpue,17.771060702,10.14423612,79.512909585,162.38236789,0.839137179,,623.42298153,449.40457809,1566.3894008,46.525494703,0.839137179,1.8647492867,18.610197881,93.050989406,14.917994294,0.1864749287,54.077729314,7.6081770897,2.79712393,,5.9299027317,,54.972808972,,0.9323746433,,,,
1976,153,cpue,6.023140196,0.9964754001,6.023140196,482.13908635,22.099609984,,16.895794006,803.8234894,1073.9790423,35.164509674,5.026664796,,0.9964754001,145.6404157,201.50946979,0.6643169334,11.07194889,,2.4358287557,,2.0150946979,,16.076469788,0.9964754001,,,,,
1976,154,cpue,54.230405662,0.9964754001,6.023140196,1097.8501641,5.026664796,,,,,,6.023140196,,5.026664796,200.88944066,,,,,,,9.034710294,8.038234894,,,,,,,
1976,155,cpue,6.4305879152,2.4092560784,0.7971803201,417.84649354,37.768632053,,4.2516283737,21.258141868,304.70003345,,,,,20.886124386,24.801165513,,5.3145354671,,,,3.2064363985,6.4305879152,3.2064363985,0.7971803201,,,,,
1976,156,cpue,44.642097924,26.789195447,13.384755991,339.28388091,,,,,,62.4950004,2.6769511982,,,370.52153938,,,,,,,,,156.24734273,,,,,,
1976,157,cpue,129.45814729,80.347902876,,330.34758794,2.6769511982,,,,,133.92629377,1.7911952871,,,464.27388171,,,,,,,,,138.39444026,,,,,,
1976,158,cpue,8.9362929706,71.431293371,14.290195367,482.12678419,4.4681464853,,,,,142.84290328,0.8857559112,,,169.63209872,,,,,,4.4681464853,,,,,,89.284195847,,,
1976,159,cpue,1.7911952871,26.789195447,6.2593417723,616.05307796,13.384755991,,,,,98.220488818,0.8857559112,,1.7911952871,383.90629537,,,,,,3.5627071094,,,,,,,,,
1976,160,cpue,2.0150946979,,3.011570098,1190.2345056,15.05785049,26.572677335,8.5254006451,792.75154051,11953.276021,3023.3285077,50.222360164,,6.023140196,554.4389126,697.53278005,11.07194889,,4.0080454981,2.214389778,,,,2.0150946979,3.011570098,0.8857559112,,,,
1976,161,cpue,2.1494343445,3.2123414379,16.061707189,1228.8859411,44.996400288,,190.92173414,1806.9420588,10758.981801,278.55251895,32.147034536,7.0860472894,1.0629070934,36.422283068,2288.7932745,1523.5001672,37.79225221,61.058107477,,1.0629070934,157.49921109,29.997600192,,4.2752485313,54.326362552,,,,
1976,179,cpue,151.245427,3.7722781159,47.268103684,912.26606457,28.365030473,41.682631114,105.79051777,1427.6301157,8515.7615367,56.730060947,4.7309786315,0.2084131556,,11.337675663,406.40565337,0.2084131556,216.74968179,,5.4187420449,,59.564479862,877.27349575,42.537125052,23.634051842,1.2504789334,,,,
1976,180,cpue,54.78802927,5.8459890138,8.7609311942,460.20656214,18.987385805,,62.019018436,127.22675815,3221.7358188,43.836865277,5.1212796319,,0.7247093819,15.347734243,117.56396639,,45.093028206,,35.430236447,,13.882210826,141.72094579,13.882210826,17.537967041,0.6441861172,,,,
1976,181,cpue,33.826552061,27.915296822,7.6081770897,277.43739887,6.7690399107,,698.83344268,29.835988587,1185.9805463,25.379237792,18.610197881,,0.839137179,2.5360590299,20.512242154,,0.9323746433,,,,,,93.050989406,,,,,,
1976,182,cpue,44.642097924,13.384755991,,26.789195447,,35.430236447,28.285138764,5.9050394079,4405.1593983,,4.4681464853,,,330.34758794,,,,,,,,,107.13709832,,,,,,
1976,183,cpue,26.789195447,35.705804953,22.321048962,339.28388091,8.9362929706,,,,,44.642097924,2.6769511982,,58.026853915,1285.6648633,,,,,,,,,107.13709832,,,,,,
1976,184,cpue,0.4964607206,4.9602331026,7.9368103745,188.48667085,2.9765772719,61.456150875,1.9727205726,29.743902203,632.49533213,3.9673116614,,0.2187051633,0.4964607206,36.705287549,29.743902203,0.2187051633,1.0935258163,,10.935258163,0.4964607206,,,0.0984173235,,0.2187051633,,,,
1976,186,cpue,,21.423482972,21.423482972,1092.810213,16.061707189,,20.525916982,2021.8854933,3918.5841511,262.49081176,1.0629070934,2.3620157631,5.3617757823,16.061707189,3217.0654694,4.7240315263,0.2362015763,64.294069073,,2.1494343445,,,,2.1494343445,,,,,
1976,201.5,cpue,37.157460474,7.0417594939,60.275689756,253.12689552,37.157460474,391.9469907,115.21470015,55.359744449,6257.8655125,3.011570098,5.026664796,,,0.9964754001,643.28023049,,37.644626225,,9.9647540008,,,557.4504827,73.318445548,47.210790066,0.8857559112,,,,
1976,202,cpue,223.84317241,12.628348562,22.953731755,227.31027412,3.4417943977,25.307311748,179.8843719,106.29070934,3631.5992358,10.325383193,12.628348562,,1.1388290287,246.79690417,604.84475078,,5.0614623496,,5.820681702,,29.837320551,1245.4993477,183.65516136,17.208971989,,,,,
1976,203,cpue,157.87296535,11.337675663,44.433684768,491.58411005,8.5032567473,,70.089344219,1125.4310401,7286.1239188,37.806146421,9.461957263,,13.234235379,316.68378989,283.44189158,,,,15.214160357,,1.8965597157,8.5032567473,141.80431105,,,,,,
1979,80,cpue,110.49804992,220.97395594,,1737.6538027,40.169030572,0.9964754001,949.17603442,341.50319156,934.11818393,1039.5895691,0.9964754001,0.9964754001,0.9964754001,7.0417594939,40.169030572,28.12275018,0.9964754001,130.58256521,266.16965131,25.111180082,3.011570098,2.0150946979,,0.9964754001,,,,,
1979,81,cpue,94.638098243,33.934293131,4.4681464853,1502.6356947,22.321048962,2.6769511982,1310.6628635,407.13278371,2643.6664594,29.466146645,,2.6769511982,22.321048962,124.9900008,29.466146645,237.48100152,13.384755991,271.41529465,248.20848978,7.1450976835,158.03853802,316.05739257,,2.6769511982,,,,,
1979,82,cpue,4.2752485313,,85.717552045,546.40510649,,,151.07452821,313.91189492,230.34377722,,1.0629070934,10.723551565,63.207541822,206.77085991,132.86338668,248.55491876,,153.2003424,214.28207003,87.843366231,69.632224698,717.84021058,,,4.2752485313,,,,
1979,103,cpue,37.508810319,26.785258754,2.1494343445,1757.079906,26.785258754,,1.0629070934,6.4246828758,1767.8034576,85.717552045,,,1.0629070934,64.294069073,,,,,,1.0629070934,,2.1494343445,5.3617757823,2.1494343445,,,,,
1979,104,cpue,14.172094579,94.536207367,0.9378592001,1120.2415525,32.137308589,,17.006513495,184.3414361,1290.3900527,75.633134157,1.8965597157,0.9378592001,9.461957263,,151.245427,5.6688378316,,,14.172094579,0.9378592001,,13.234235379,,2.8344189158,,,,,
1979,105,cpue,23.326810513,243.65716478,,2667.2453453,25.921218149,,837.23934547,238.46834951,865.75497125,637.65282318,0.5143098839,,2.5944076366,,10.366201438,0.5143098839,0.5143098839,33.69301195,46.665050134,0.5143098839,,3.1087175205,,0.5143098839,0.5143098839,,,,
1979,106,cpue,16.069580575,21.431356358,3.5745171882,1423.169611,8.9284195847,0.3543023645,267.84471416,437.48468626,528.55614071,164.27819633,1.4250828438,12.502936773,5.3539023965,151.78313294,98.212615432,23.218614952,7.8576391054,32.139161151,18.573317284,8.5741172202,,,,2.5037367089,1.0707804793,,,,
1979,123,cpue,32.147034536,48.208741726,,117.86458658,1.0629070934,21.423482972,101.77925923,48.208741726,1462.4420598,32.147034536,1.0629070934,,,,58.932293291,,112.5028108,,10.723551565,,1.0629070934,,37.508810319,1.0629070934,,,,,
1979,125,cpue,37.508810319,107.14103502,,133.92629377,2.1494343445,160.71155252,4.2752485313,176.77325971,1949.9384931,16.061707189,1.0629070934,,5.3617757823,48.208741726,117.86458658,,5.3617757823,,,,8.5741172202,21.423482972,80.355776262,,,,,,
1979,126,cpue,91.079327827,74.99400048,,562.49043384,21.423482972,,342.84658802,203.55851847,3224.8837416,19.274048627,2.1494343445,,58.932293291,42.846965944,251.76726019,,37.508810319,16.061707189,,,6.4246828758,16.061707189,96.417483452,21.423482972,,,,,
1979,128,cpue,108.20394211,32.147034536,,1360.6628005,8.5741172202,,10.699931407,85.717552045,1960.6384245,321.42310505,,,32.147034536,192.85858706,10.723551565,,3.2123414379,,,,,48.208741726,55.719951853,3.2123414379,,,,,
1979,129,cpue,28.698491522,28.698491522,,929.81594093,51.652223278,3.4417943977,189.39992112,286.98491522,2341.761478,264.03118347,,,8.0477251359,,195.14468089,,1.1388290287,,,1.1388290287,,,4.5806234264,1.1388290287,,,,,
1979,130,cpue,14.282321981,18.573317284,0.3543023645,342.84658802,12.502936773,0.3543023645,16.069580575,51.783258914,760.68717652,7.1411609906,,,0.3543023645,44.642097924,21.431356358,,,,,,,,16.069580575,,,,,,
1979,131,cpue,17.782963357,28.035116882,,721.8194533,3.4224100738,,3.7540973938,168.91176768,1001.1830985,179.51822356,,0.3392256681,11.97089691,12.310122578,70.099099728,,,,,,,,6.8372817995,,,,,,
1979,132,cpue,26.785258754,133.92629377,1.0629070934,958.90753937,37.508810319,,48.208741726,337.48481224,3294.5395864,878.5517631,,,1.0629070934,32.147034536,117.86458658,,,10.723551565,13.935893003,1.0629070934,,,,,,,,,
1979,133,cpue,13.56313739,141.62129825,,1428.3035507,20.084515286,,12.046280392,237.54866343,2470.8936179,198.37610826,5.524902496,2.513332398,7.528925245,170.75159578,102.44874308,27.62451248,,45.705005017,,2.004022749,2.004022749,1.007547349,,,,,,,
1979,134,cpue,,,11.175928932,155.46941798,,0.3466001392,17.815247153,,,12.2311338,0.3466001392,0.3466001392,0.7009025036,10.482728653,,2.0950052856,2.7959077892,3.4968102928,,10.829328792,8.7343235068,0.7009025036,,,0.3466001392,,0.7009025036,,
1979,150,cpue,10.053329592,15.05785049,,30.137844878,2.0150946979,0.9964754001,13.06489969,10.053329592,589.60342228,,0.9964754001,,,,21.103134584,2.0150946979,40.169030572,,,,2.0150946979,3.011570098,15.05785049,,,,,,
1979,152,cpue,40.177888131,16.073517268,,286.59518262,,10.711741486,27.859975926,141.95714737,1210.6747996,,6.9679465013,,,0.5314535467,53.570517508,,26.785258754,,,,2.1376242656,8.0308535947,53.570517508,10.711741486,2.1376242656,,,,
1979,153,cpue,51.137641272,41.399694467,0.9770156111,163.14013419,0.9662791758,18.015738412,39.445663245,311.67871638,1536.4805175,7.3007759952,5.3467447729,0.4831395879,4.8743416203,30.190856027,68.176364073,,26.776669606,,,,0.9770156111,7.7946520184,60.875588078,,0.4831395879,,,,
1979,154,cpue,96.417483452,192.85858706,,1344.6010933,16.061707189,,7.5112101268,192.85858706,1499.9508701,107.14103502,14.998800096,,,21.423482972,26.785258754,,16.061707189,,,,5.3617757823,32.147034536,74.99400048,10.723551565,,,,,
1979,155,cpue,81.865990091,66.287758003,,181.80140077,1.505785049,,5.524902496,32.640105327,652.87961018,143.1270833,27.115202831,,4.019117447,31.643629927,231.01621358,1.505785049,2.513332398,,,,,,129.57501786,20.084515286,1.007547349,,,,
1979,156,cpue,42.846965944,112.5028108,,830.31940122,2.1494343445,17.14823444,39.634624506,10.723551565,953.54576358,428.56414007,1.0629070934,,1.0629070934,,21.423482972,,1.0629070934,,,,,,144.62622518,,,,,,
1979,157,cpue,185.34737693,85.717552045,,2137.4353044,167.1362354,,22.510010223,182.1350355,739.26369355,64.294069073,,1.0629070934,1.0629070934,74.99400048,42.846965944,,,,,,,,107.14103502,,,,,,
1979,158,cpue,26.977594323,45.920117167,,1550.2626494,14.918660275,,1.7208971989,143.49245761,892.51296342,200.88944066,,,6.3141742811,18.942522843,57.396983045,,,,,,,,24.10521444,2.8723798834,,,,,
1979,159,cpue,,83.036664153,3.7556050634,2911.5033002,53.570517508,,3.2123414379,251.77907027,1411.5642402,246.41729449,,,0.5314535467,,270.52166535,0.5314535467,,34.816112349,28.391429473,10.711741486,,,,0.5314535467,0.5314535467,,,,
1979,160,cpue,18.663734232,77.763654447,2.0686686442,2039.9701527,14.514967835,,3.1087175205,212.54713136,856.41738958,2.0686686442,2.0686686442,1.0400488764,1.0400488764,64.288735489,207.88405508,25.921218149,,,,2.0686686442,,,,,,,,,
1979,161,cpue,,,81.430493435,182.1350355,10.180287939,,26.785258754,17.679687987,56.251405399,78.206341918,0.5314535467,0.5314535467,,,,1.0747171722,1.0747171722,0.5314535467,,32.678488083,1.6061707189,,,0.5314535467,,,,,
1979,176,cpue,21.423482972,5.3617757823,,353.57013959,53.570517508,32.147034536,6.4246828758,,2710.6256696,32.147034536,10.723551565,,,10.723551565,10.723551565,1.0629070934,26.785258754,,3.2123414379,,4.2752485313,332.12303646,64.294069073,24.63582441,,,,,
1979,179,cpue,63.141742811,2.3029653691,,1228.2650684,17.208971989,114.79396609,11.489519534,57.396983045,6072.4894539,210.07599482,,,,,137.74769784,,34.443251289,,52.791052306,,4.5806234264,57.396983045,97.5849941,,1.1388290287,,,,
1979,180,cpue,58.932293291,2.1494343445,,953.54576358,10.723551565,,58.932293291,64.294069073,2158.8587874,128.56451799,2.1494343445,,,1.0629070934,117.86458658,,32.147034536,,53.570517508,,4.2752485313,133.92629377,58.932293291,,,,,,
1979,181,cpue,42.846965944,101.77925923,,1419.5950938,7.5112101268,5.3617757823,64.270448915,,1264.2453171,48.208741726,10.723551565,,1.0629070934,5.3617757823,42.846965944,,1.0629070934,,53.570517508,,1.0629070934,26.785258754,230.34377722,2.1494343445,1.0629070934,,,,
1979,182,cpue,384.70593612,213.95434035,2.0150946979,3461.2683741,213.95434035,278.2380756,74.337064846,246.08513602,4166.3743672,246.08513602,2.0150946979,,2.0150946979,,320.42220087,,,,,,,,85.386869838,2.0150946979,,11.049804992,,,
1979,183,cpue,53.570517508,10.723551565,,3471.3128462,176.77325971,,34.272848723,835.681177,2978.4782572,342.84658802,,,4.2752485313,74.99400048,149.98800096,,,,,,,,64.294069073,5.3617757823,,42.846965944,,,
1979,184,cpue,,26.785258754,,1972.4248832,26.785258754,230.34377722,6.4246828758,,879.6146702,,5.3617757823,26.785258754,118.92749367,169.28566974,,,40.721151757,,,,,,131.77685943,,5.3617757823,,,,
1979,185,cpue,69.632224698,48.208741726,2.1494343445,3835.5829171,187.49681128,32.147034536,16.061707189,171.41148393,1446.3803526,203.55851847,,,1.0629070934,179.98560115,117.86458658,3.2123414379,3.2123414379,32.147034536,,5.3617757823,,,21.423482972,,3.2123414379,,,,
1979,186,cpue,89.992800576,48.208741726,10.723551565,3378.1077041,44.996400288,,,760.68717652,2774.8961185,26.785258754,,1.0629070934,10.723551565,149.98800096,1211.7377067,32.147034536,1.0629070934,96.417483452,,5.3617757823,,,,,2.1494343445,,,,
1979,201.5,cpue,117.86458658,53.570517508,,921.39872905,32.147034536,123.20274221,5.3617757823,,4376.649868,139.28806955,,,,,123.20274221,2.1494343445,32.147034536,,,,5.3617757823,278.55251895,69.632224698,16.061707189,,,,,
1979,202,cpue,107.14103502,69.632224698,,1366.0245763,16.061707189,,,241.06732879,3508.8216565,149.98800096,1.0629070934,,,1.0629070934,235.705553,,1.0629070934,,,,1.0629070934,144.62622518,91.079327827,16.061707189,,,,,
1979,203,cpue,26.785258754,42.846965944,,723.1783662,5.3617757823,696.41672761,,53.570517508,1730.2946473,32.147034536,2.1494343445,,1.0629070934,,198.19674269,,2.1494343445,,,,,,160.71155252,,10.723551565,,,,
1982,81,cpue,42.283190076,58.156868379,21.141595038,89.880915619,,,,824.68537204,993.86475108,95.148832354,37.015273341,42.283190076,74.007237316,348.91790091,148.01447463,95.148832354,2.1211523136,206.17134301,243.18661635,,211.46256911,1607.087554,,,1.0489214738,,,,
1982,82,cpue,26.965025591,,4.3039414745,1008.4776899,2.1638600783,,,,,,64.725572892,431.44040946,242.68523032,10.795521709,129.4273671,,16.169503882,458.40543505,3257.3227783,48.532290328,436.81439163,4659.4803304,,,,,,,
1982,103,cpue,618.12135586,144.21923169,,370.8591865,25.755056494,5.1555536369,,41.199005715,999.26893795,226.63995481,3.0887898441,2.0667637928,15.443949221,10.311107274,51.510112989,,1.0220260514,,,,,103.02022598,3.0887898441,1.0220260514,,,,,
1982,104,cpue,289.47163368,104.81628335,0.9902861119,838.48625411,24.955210019,,,149.73126012,1078.0474677,189.6507936,2.9928646937,0.9902861119,29.950653295,59.90130659,4.9954432755,,,,,,,149.73126012,,0.9902861119,,,,,
1982,105,cpue,94.526944561,220.57058965,1.0420657779,850.8119721,2.107288573,10.513285848,,210.08046082,2531.4325016,231.08387549,31.516700526,1.0420657779,31.516700526,63.033401052,84.03681573,,,1.0420657779,273.09070485,,,63.033401052,,,,,,,
1982,106,cpue,58.156868379,259.03698529,5.291226101,280.17858033,3.1700737874,,597.37243399,465.2083283,1934.8405505,58.156868379,11.631373676,23.262747352,243.18661635,777.11095586,89.880915619,5.291226101,,63.44809448,79.298463417,,15.850368937,,,,10.582452202,,,,
1982,125,cpue,90.959890049,272.90195331,4.0332533314,10.11655808,,424.51662551,,424.51662551,3911.5872364,80.865615136,1.002742541,1.002742541,2.0277682495,1.002742541,181.94206327,,101.07644813,,,,,15.152553952,363.86184336,,,,,,
1982,126,cpue,84.57673987,56.398306204,0.9323746433,65.784210947,,0.9323746433,,385.31936094,3552.5131466,79.894147217,4.7033120898,0.9323746433,0.9323746433,126.8651098,310.14924525,,46.991682025,1.8854687232,,,18.792528923,140.97504607,291.33599689,,,,,,
1982,127,cpue,83.491122121,83.491122121,,1351.4104473,52.179075495,,,255.6728686,2055.8279665,93.913133232,10.445017758,,,83.491122121,26.089537748,,88.713631,,,,,,177.40425535,,,,,,
1982,128,cpue,1014.7355989,236.95106209,,376.01474014,16.488686962,10.311107274,,615.00985433,6402.6071131,298.74957066,6.1775796882,,,30.910610131,303.9051243,,20.599502857,,,,24.733030443,381.17029378,113.33133325,,,,,,
1982,129,cpue,1241.8297875,140.86969985,,746.15157692,1.035299117,10.445017758,,276.53989746,6402.2667327,1367.077974,1.035299117,1.035299117,1.035299117,31.312046626,193.04877534,,2.093604881,,,,,,41.734057737,,,,,,
1982,130,cpue,302.62943521,83.491122121,,600.05936819,1.035299117,3.1289039979,,57.401584374,6574.4484791,730.48405028,1.035299117,2.093604881,2.093604881,302.62943521,78.268613243,,,,,,,,104.35815099,,,,,,
1982,131,cpue,198.27128422,73.046104364,1.035299117,740.92906804,,,,166.9592376,1471.436125,281.76240634,7.3161137599,1.035299117,3.1289039979,813.9751724,114.80316875,,,,104.35815099,,,,10.445017758,,,,,,
1982,132,cpue,116.31373676,243.18661635,1.0489214738,877.55101432,10.582452202,,,52.865642278,264.32821139,232.60416415,4.2189952611,,2.1211523136,68.716011215,63.44809448,,1.0489214738,4.2189952611,,1.0489214738,,,,,,,,,
1982,133,cpue,107.14103502,160.71155252,2.1494343445,621.39910697,26.785258754,,21.423482972,139.28806955,96.417483452,,44.996400288,1.0629070934,96.417483452,,107.14103502,,,80.355776262,5.3617757823,1.0629070934,,,449.98762304,,,,,,
1982,134,cpue,10.245431431,,209.8508081,3746.4654164,15.345580117,,102.36404619,450.39277644,1453.5423755,,28.660127572,61.427454528,3.0691160235,102.36404619,307.09213858,532.2885268,1.0155163313,133.07777346,102.36404619,,,,,1.0155163313,20.468295833,,,,
1982,150,cpue,35.609630049,35.609630049,7.13089569,1.0090890127,,40.677499313,,127.1452156,1210.3910587,40.677499313,2.0406022258,,1.0090890127,3.0496912385,61.03867317,,330.57756057,203.43234497,101.71617248,,,,2.0406022258,,,,,,
1982,152,cpue,145.14967835,46.653621025,2.0800977527,212.55856047,1.0286197678,15.543587603,,1368.6128884,6703.1264372,41.464805752,6.2174350411,,15.543587603,98.496057323,767.25891393,,518.42436298,518.42436298,,,,,305.86580252,,3.1087175205,,,,
1982,153,cpue,93.090785885,53.901487766,1.9659460468,63.688010394,0.972171122,0.972171122,,852.55086641,3998.1293526,,19.59464906,,,39.189298119,200.89376142,,97.9948491,19.59464906,,,,58.805550981,342.98197185,,0.972171122,,,,
1982,154,cpue,259.52098039,44.914976763,0.9902861119,149.73126012,,,,938.30709418,5549.9374791,99.820840077,61.881878813,,0.9902861119,89.829953526,109.81172663,,69.870186783,9.990886551,,,19.959766744,189.6507936,84.856516609,,,,,,
1982,155,cpue,161.70894711,153.64244044,2.0277682495,677.20774583,55.596503104,10.11655808,,545.80390663,3714.4926192,55.596503104,40.421665984,1.002742541,35.385670112,449.78573754,277.96023235,1.002742541,50.538224064,,,,26.271854573,67.718546266,242.57456224,,,,,,
1982,156,cpue,90.391390736,75.333540246,0.9964754001,226.00062074,28.12275018,0.9964754001,,55.24902496,1441.3684504,185.80944627,25.111180082,,0.9964754001,47.210790066,45.195695368,,0.9964754001,2.0150946979,,,,,361.58770684,,,,,,
1982,157,cpue,131.4038392,161.70894711,1.002742541,131.4038392,31.330133613,,,343.65101037,990.53136513,5.0582790399,2.0277682495,1.002742541,1.002742541,146.55639315,101.07644813,,,1.002742541,,,,,131.4038392,,,,,,
1982,158,cpue,642.84163846,207.36974519,,508.04673244,36.298848696,,25.921218149,134.79490602,1804.0847817,259.21218149,1.0286197678,,53.922534051,134.79490602,238.47977862,,,,,,,,15.543587603,,,5.1888152732,,,
1982,159,cpue,336.1241059,273.09070485,31.516700526,735.25845584,36.77334345,,,294.11727655,1880.1877045,514.68786619,36.77334345,,42.006829356,131.30028801,105.04023041,,,,10.513285848,,,,,,,,,,
1982,160,cpue,300.67698724,248.83455094,2.0800977527,653.19641078,72.574839174,,,103.6848726,756.88128338,62.220066845,36.298848696,1.0286197678,145.14967835,673.95167188,114.06250314,1.0286197678,,3.1087175205,,,,,,,,,,,
1982,176,cpue,71.65031893,81.895750361,2.0535996922,35.83644298,,40.936591666,,,6970.8651704,61.427454528,2.0535996922,,,13.314547455,112.60947763,,153.54606929,,,,,941.74471158,174.01436512,,,,,,
1982,179,cpue,243.50235231,26.304266453,0.9662791758,68.176364073,0.9662791758,48.700470462,,116.87683453,4460.8814974,29.224576851,29.224576851,,,48.700470462,233.75366907,,545.43238545,,,,,,87.652257683,,,,,,
1982,180,cpue,466.25753754,29.765772719,0.9841732346,89.27544764,1.9902169856,39.673116614,,386.8894338,5565.2809368,49.602331026,,,0.9841732346,9.9292144118,545.62564129,1.9902169856,119.04122036,,,,,,94.240054846,,,,,,
1982,181,cpue,46.448425585,55.746302664,1.8636713969,9.2978770792,,,0.9215957457,148.62267393,1133.3170084,23.224212793,9.2978770792,,,6.5126099365,111.47212542,,0.9215957457,46.448425585,27.873151332,,,2.7852671427,88.247912631,,,,,,
