Year,WSPD,U,V,WS^3,SKC,ATEMP,DEWP,SLP,ERSST,Qb,Qi,Qs,Ql,Qnet,JFMA_IC,I_OUT,I_IN,IceFREE,YukonDisch.,PDO (winter) Pacific Dacadal Oscillation Index,PDO (summer),PDO (Annual),AOI (normalized) Arctic Oscillaiton Index,EPIw,PNA_CPC,PNA_WG,Siberian/Alaskan Index,Siberian Index,Alaskan Index,WPw,WPsp,NPIAw,NPIss,S-B difference,
1998,4.583,-1.407,-0.487,246.945,0.74,-1.7,-4.79,1005.74,3.3,-19.9,34.77,-9.35,-13.82,-8.31,0.68,104,329,225,1928098,1.02,0.05,0.25,-0.43,0.6,0.93,1.43,0.23,-0.89,-1.12,0.88,1.7,-1.42,0.65,.,
1999,3.906,-0.976,-0.65,197.689,0.61,-5.27,-8.31,1008.61,2.02,-14.9,29.17,-6.05,-6.93,1.3,0.86,165,310,145,2062681.7,-0.47,-0.97,-1.06,0.81,-0.78,-0.02,-0.25,1.42,-0.21,-1.63,1.06,0.62,0.36,0.52,3.3611,
2000,4.848,-1.617,-0.621,269.948,0.72,-1.2,-4.61,1007.62,3.2,-20.04,30.71,-10.5,-14.48,-14.3,0.7,123,332,209,2859873.7,-1.49,-0.76,-0.59,1.23,-0.51,0.17,0.03,2.49,1.7,-0.79,-0.2,-1.14,-0.1,0.11,.,
2001,4.645,-0.851,-0.945,251.43,0.64,-3.18,-6.63,1007.56,3.7,-18.34,31.44,-10.09,-13.09,-10.08,0.71,135,305,170,2555018.8,0.47,-0.85,-0.56,-0.9,-0.5,0.86,0.5,-1.26,-0.42,0.84,0.77,-0.58,-0.7,0.43,.,
2002,4.409,-1.012,-0.668,218.793,0.67,-0.62,-4.23,1008.97,4.16,-37.9,71.87,-19.87,-23.64,-9.53,0.68,81,348,267,2376618.4,-0.43,-0.02,0.22,0.64,0.41,0.22,0,-0.56,-0.42,0.14,0.51,-0.11,0.25,-0.1,3.3452,
2003,4.679,-0.584,-0.659,225.804,0.65,-1.28,-4.69,1008.99,5.18,-24.72,33.17,-16.58,-21.32,-29.45,0.7,122,330,208,2290934.9,1.98,0.84,0.97,-0.32,1.22,1.2,0.93,-0.94,-0.01,0.93,0.54,0.02,-1.61,-0.35,.,
2004,4.996,-1.167,-0.827,269.4,0.7,-0.61,-4.08,1009,4.8,-21.01,34.56,-13.14,-17.69,-17.29,0.73,117,328,211,2114838.1,0.41,0.44,0.35,-0.6,-0.26,0.78,0.44,-0.24,-0.52,-0.28,0.37,0.19,-0.04,-1.31,.,,,
2005,4.83,-0.483,-0.959,253.924,0.62,-1.75,-5.52,1008.47,4.35,-20.91,32.48,-13.54,-18,-19.98,0.75,134,315,181,2864977.5,0.36,0.69,0.38,0.34,0.33,0.14,-0.03,0.44,1.7,1.26,0.27,-0.34,-0.22,-1.51,.,,,
2006,4.633,-0.548,-0.463,234.344,0.72,-3.17,-6.4,1009.08,3.94,-19.8,32.24,-10.13,-16.18,-13.87,0.78,140,323,183,2545430.4,0.63,0.25,0.19,-0.46,-0.03,0.57,0.41,1.36,1.08,-0.28,0.58,0.28,0.66,0.26,5.0307,,,
2007,4.385,-0.845,-0.601,198.315,0.71,-1.24,-4.93,1008.46,3.27,-17.46,31.35,-8.09,-11.05,-5.25,0.74,140,326,186,2190418.4,0.06,0.46,-0.2,1.12,-0.41,0.83,0.39,1.3,0.04,-1.26,1.27,-1.36,0.52,-1.77,,,,
2008,4.271,-0.7,-1.042,173.044,0.68,-3.99,-7.86,1010.44,3.12,-21.58,35.54,-11.6,-17.19,-14.83,0.83,151,310,159,2337707.1,-0.78,.,.,1,-0.96,0.11,-0.54,1.3,0.51,-0.79,0.72,.,0.29,.,,,,



, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
