Year,WSPD,U,V,WS^3,SKC,ATEMP,DEWP,SLP,ERSST,Qb,Qi,Qs,Ql,Qnet,JFMA_IC,I_OUT,I_IN,IceFREE,YukonDisch.
1992,3.888,-0.441,-0.45,163.867,0.66,-4.26,-7.65,1010.09,2.37,-16.3,30.35,-9.24,-11.64,-6.83,0.85,173,303,130,2400111
1993,4.016,-1.144,-0.592,162.022,0.68,-0.86,-4.3,1008.28,4.03,-22.74,38.25,-13.21,-17.21,-14.92,0.69,117,326,209,2636422.7
1994,3.911,-0.742,-0.749,157.24,0.62,-3.25,-7.21,1009.11,3.66,-19.26,31.85,-11.58,-13.83,-12.82,0.74,134,315,181,2518251.6
1995,3.76,-0.632,-0.609,142.67,0.62,-1.74,-5.46,1010.84,3.51,-21.12,35.54,-8.52,-12,-6.1,0.77,130,321,191,2396481.5
1996,4.327,-0.803,-0.448,196.665,0.63,-2.57,-6.65,1013.74,3.64,-26.13,53.98,-13.75,-17.96,-3.86,0.7,118,313,195,2015309.4
1997,4.331,-0.518,-0.514,205.164,0.67,-1.85,-5.37,1009.43,3.64,-17.2,30.84,-9.45,-12.72,-8.52,0.74,134,327,193,2390536.1
1998,4.583,-1.407,-0.487,246.945,0.74,-1.7,-4.79,1005.74,3.29,-19.83,36.64,-9.26,-13.7,-6.14,0.68,104,329,225,1926501
1999,3.906,-0.976,-0.65,197.689,0.61,-5.27,-8.31,1008.61,2.01,-14.86,30.72,-6,-6.86,2.99,0.86,165,310,145,2059716.9
2000,4.848,-1.617,-0.621,269.948,0.72,-1.2,-4.61,1007.62,3.19,-19.99,32.43,-10.42,-14.38,-12.36,0.7,123,332,209,2870590.6
2001,4.645,-0.851,-0.945,251.43,0.64,-3.18,-6.63,1007.56,3.69,-18.29,33.12,-10.03,-13.01,-8.22,0.71,135,305,170,2555441.3
2002,4.409,-1.012,-0.668,218.793,0.67,-0.62,-4.23,1008.97,4.15,-37.84,72.55,-19.78,-23.53,-8.6,0.68,81,348,267,2376618.4
2003,4.157,-0.582,-0.478,211.124,0.62,-1.27,-4.69,1008.99,5.17,-25.74,36.74,-15.91,-20.15,-25.06,0.7,122,330,208,2292521.9
2004,4.633,-1.109,-0.795,249.755,0.62,-0.54,-4.16,1008.94,4.83,-23.64,40.34,-12.81,-17.27,-13.37,0.73,117,328,211,2111139.9
2005,4.437,-0.473,-0.834,240.226,0.42,-1.83,-5.69,1008.33,4.41,-26.53,44.1,-12.89,-17.17,-12.49,0.75,134,315,181,2788959
2006,4.058,-0.273,-0.069,213.059,0.45,-3.13,-6.5,1010.82,3.79,-12.42,39.6,-2.78,-7.69,16.72,0.78,140,NA,NA,1667563.7
